row_index,source_asset_id,classification_label,species_common_name,variety_name,species_scientific_name,specific_note,weather_hypothesis,expected_harvest_window,confidence,labeling_method,caption,notes_append,ocr_excerpt
1,AF1QipPU9RHgErKWJwJJ92pF-E0klp18nr0eMqppu6yS,non_tomato,Lettuce,,Lactuca sativa,,,,0.99,manual_packet_label,Oakleaf Lettuce (Rouxai MTO) | non_tomato_01 | verified,Manual packet-label verification from photo.,
2,AF1QipP3uLTxp7JBdSEI1arLdrVpzmVWxPsfUREzogQc,non_tomato,Spinach,,Spinacia oleracea,,,,0.99,manual_packet_label,Savoyed Spinach (Tundra F1 OG) | non_tomato_02 | verified,Manual packet-label verification from photo.,
3,AF1QipMhYY3ADKACHG7cdnyQKr5EB6ubpjjpWykvU06O,non_tomato,Spinach,,Spinacia oleracea,,,,0.92,manual_packet_label,Bloomsdale Spinach | non_tomato_03 | verified,Manual packet handwriting + tray evidence (F).,
4,AF1QipND0gAwfUQ1xbVpfJqHJ7hJJjb6fhFYSQdo4CWe,non_tomato,Spinach,,Spinacia oleracea,,,,0.85,manual_tag_inference,Bloomsdale Spinach | non_tomato_04 | inferred,Inferred from repeated F tags adjacent to verified Bloomsdale packet.,
5,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,non_tomato,Spinach,,Spinacia oleracea,,,,0.99,manual_packet_label,Smooth Leaf Spinach (Tadorna OG) | non_tomato_05 | verified,Manual packet-label verification from photo.,
6,AF1QipPy0PJSqnwpfWm_W4pspUcOt_QTWuAzcKvpBi_4,non_tomato,Pea,,Pisum sativum,,,,0.99,manual_packet_label,Shelling Pea (Maxigol) | non_tomato_06 | verified,Manual packet-label verification from photo.,
7,AF1QipMB-jUQ93DXcLOwaHZnlF1J7IK3rz6IW8Dgpv2B,non_tomato,Collards,,Brassica oleracea var. viridis,,,,0.99,manual_packet_label,Collards (Flash F1) | non_tomato_07 | verified,Manual packet-label verification from photo.,
8,AF1QipM6AUa6pLQQ6rWh54k2_an_Z5J1ijOLl5S1vVYB,non_tomato,Leek,,Allium porrum,,,,0.99,manual_packet_label,Leek (Tadorna OG) | non_tomato_08 | verified,Manual packet-label verification from photo.,
9,AF1QipPBKSwU3sjNcQQSkKhJlcDXrMPgsJUsYU4qxJBM,non_tomato,Kale,,Brassica napus,,,,0.99,manual_packet_label,Kale (White Russian OG) | non_tomato_09 | verified,Manual packet-label verification from photo.,
10,AF1QipOjuN57XrR72JGpYJD-MNFmDIU5mMfTXiSqesvx,non_tomato,Red Cabbage,,Brassica oleracea var. capitata,,,,0.99,manual_packet_label,Red Cabbage (Ruby Perfection F1) | non_tomato_10 | verified,Manual packet-label verification from photo.,
