pot_id,series_number,notes
1T,5,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
2T,5,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
3T,1,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
4T,1,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
5T,1,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
6T,1,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
7T,9,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
8T,3,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
9T,3,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
10T,3,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
11T,3,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
12T,3,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
13T,6,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
14T,8,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
15T,6,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
16T,9,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
17T,6,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
18T,11,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
19T,11,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
20T,11,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
21T,11,Canonical override from manual two-run review (latest run declared missing, carried from 2026-02-27).
22T,10,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
23T,12,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
24T,12,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
25T,5,Canonical override from manual two-run review (row 435 kept; row 432 excluded).
26T,5,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
27T,4,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
28T,4,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
29T,7,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
30T,7,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
31T,3,Canonical override from manual review with continuity tie-break (conflict 3 vs 7).
32T,7,Canonical override from manual two-run review (2026-02-27 + 2026-03-11).
