run_date,row_index,source_asset_id,capture_date,captured_at,photo_url,classification_label,pot_id,packet_number,variety_name,species_common_name,labeling_method,confidence,lifecycle_stage,potting_date,day_one_photo_date,day_since_potting,experiment_day,mapping_status,mapping_note
2026-02-25,1,AF1QipPU9RHgErKWJwJJ92pF-E0klp18nr0eMqppu6yS,2026-02-25,2026-02-25T15:03:49.626000-08:00,https://lh3.googleusercontent.com/pw/AP1GczMFMLOe7oiwjfy2VzLYUh5tJOWEA7wfObH4QF5kurmaWY69z7ktRZ8VveosEOtK6LaPOAEKKRUFcBYQdbOE3GTkmdqEVNG7VFBiAV9MEzmTnmaLW5qh,non_tomato,,8,Lettuce,Lettuce,manual_packet_label,0.99,sapling,2026-02-24,2026-02-25,1,1,needs_review,row_not_detected_as_tomato
2026-02-25,2,AF1QipP3uLTxp7JBdSEI1arLdrVpzmVWxPsfUREzogQc,2026-02-25,2026-02-25T15:04:31.921000-08:00,https://lh3.googleusercontent.com/pw/AP1GczM_-onCa0Wcrfjf20N-VnH8urwQNIOfacr9iQL4-MUob6XBcv-bqhaIqNgfqqi0cMsyqLXpJFjjpUXXDp5kpgX60CIQoQ_y3ViaGgzmENYin3PWAMgM,non_tomato,,2,Spinach,Spinach,manual_packet_label,0.99,sapling,2026-02-24,2026-02-25,1,1,needs_review,row_not_detected_as_tomato
2026-02-25,3,AF1QipMhYY3ADKACHG7cdnyQKr5EB6ubpjjpWykvU06O,2026-02-25,2026-02-25T15:04:52.014000-08:00,https://lh3.googleusercontent.com/pw/AP1GczM3sgJLOFfLxtTTQ-7yhO2hi0NJzMObA-mPgxRs3ToIaCFJlCq5NuYk8xxOLXvpBKBSjaoD0qkMRH8CRLHkH2A6PpPKLgrgOhfkO3_juwlrhXXiUmqh,non_tomato,,7,Spinach,Spinach,manual_packet_label,0.92,sapling,2026-02-24,2026-02-25,1,1,needs_review,row_not_detected_as_tomato
2026-02-25,4,AF1QipND0gAwfUQ1xbVpfJqHJ7hJJjb6fhFYSQdo4CWe,2026-02-25,2026-02-25T15:05:07.484000-08:00,https://lh3.googleusercontent.com/pw/AP1GczNWU1KGbKd-lxw1pHAMPVOEykVSffgvIk4YOkduAozkzL32eWu9h8BTlhLbFOuiCZwfoie-CwGscaPrE79DDWJfKeiskVX-byjP_zXyGKrPbSSj-dlW,non_tomato,,2,Spinach,Spinach,manual_tag_inference,0.85,sapling,2026-02-24,2026-02-25,1,1,needs_review,row_not_detected_as_tomato
2026-02-25,5,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,2026-02-25,2026-02-25T15:05:23.066000-08:00,https://lh3.googleusercontent.com/pw/AP1GczOyDG--plQlxn84m_7asZCbRv4RGEUpk_dtgvs97UJog8pa3POFlhom66xsSd0oyrWe_ZqTwp_qvL9PFt5Umbm_SYt5d6sQ222lB5skoSpdjR2SmusU,non_tomato,,25,Spinach,Spinach,manual_packet_label,0.99,sapling,2026-02-24,2026-02-25,1,1,needs_review,row_not_detected_as_tomato
2026-02-25,6,AF1QipPy0PJSqnwpfWm_W4pspUcOt_QTWuAzcKvpBi_4,2026-02-25,2026-02-25T15:05:52.191000-08:00,https://lh3.googleusercontent.com/pw/AP1GczPBDkxvbJW2i0Aq4-I9nYwMelPN6qKIoaC2FzkmKsTzNIs6TXDn-HUNk8ChAFymNFkCrVoLGBvRU9cex69d6ftAvr4JFulbo4MwfK2P95lY1nmSjpVv,non_tomato,,4,Pea,Pea,manual_packet_label,0.99,sapling,2026-02-24,2026-02-25,1,1,needs_review,row_not_detected_as_tomato
2026-02-25,7,AF1QipMB-jUQ93DXcLOwaHZnlF1J7IK3rz6IW8Dgpv2B,2026-02-25,2026-02-25T15:07:05.402000-08:00,https://lh3.googleusercontent.com/pw/AP1GczPmpa_ecGly6DmKjzNTVcOwn6CKvzqjG4eDDi41ki8BGSmPg0pCjZz5YURce1l2tD5oK5J757klLG7SAlk_H3nq5FIPheIvH67c8RSnUpJFt4t5rHGo,non_tomato,,7,Collards,Collards,manual_packet_label,0.99,sapling,2026-02-24,2026-02-25,1,1,needs_review,row_not_detected_as_tomato
2026-02-25,8,AF1QipM6AUa6pLQQ6rWh54k2_an_Z5J1ijOLl5S1vVYB,2026-02-25,2026-02-25T15:07:15.144000-08:00,https://lh3.googleusercontent.com/pw/AP1GczPbUzKffSUzNaJgkbWllUKOKGMV5zMlbnMOZ-1-zw0UmSE3d4TUsGxs3PsGN7_V_SQgrW5zEk4SR3fFJ8-5jpkpYdtPmj0Af1CezrqGQwuYxJKzd2ga,non_tomato,,4,Leek,Leek,manual_packet_label,0.99,sapling,2026-02-24,2026-02-25,1,1,needs_review,row_not_detected_as_tomato
2026-02-25,9,AF1QipPBKSwU3sjNcQQSkKhJlcDXrMPgsJUsYU4qxJBM,2026-02-25,2026-02-25T15:07:27.925000-08:00,https://lh3.googleusercontent.com/pw/AP1GczNINkznFs3eW_WC8eBcLPZCcBGo2WjQp2R28NUZ7t3qGVGMoE6zBnJ_MWx3lupOSTyEEt64IiZJ45_aGn_8n5dCaeOvn7cQ6170bnz89xQ3wZ5C3Bvh,non_tomato,,3,Kale,Kale,manual_packet_label,0.99,sapling,2026-02-24,2026-02-25,1,1,needs_review,row_not_detected_as_tomato
2026-02-25,10,AF1QipOjuN57XrR72JGpYJD-MNFmDIU5mMfTXiSqesvx,2026-02-25,2026-02-25T15:07:43.173000-08:00,https://lh3.googleusercontent.com/pw/AP1GczPf7y7iK9rIjFFcXNMalZrKueHECps2QmiEVeHeZp9d9GvtzBusWm-zrteqjhx_Tch5wgyugPzE_45r6nKPcuQ7VqzC4kE0uhqVn1Xe9b0kTh7sf9EB,non_tomato,,2,Red Cabbage,Red Cabbage,manual_packet_label,0.99,sapling,2026-02-24,2026-02-25,1,1,needs_review,row_not_detected_as_tomato
