run_date,context_id,row_index,source_asset_id,capture_date,captured_at,photo_url,classification_label,pot_id,packet_number,variety_name,species_common_name,labeling_method,confidence,lifecycle_stage,potting_date,day_one_photo_date,day_since_potting,experiment_day,phase_id,phase_name,phase_day_label,phase_boundary,phase_lock_status,final_status,review_stage,resolution_source,review_status_label,mapping_status,mapping_note
2026-03-27,context_default,522,AF1QipMxrN4l9shrKzY1IqVdcVeiyk0Qv934jmcoK272,2026-03-27,2026-03-27T18:21:29.613000-07:00,https://lh3.googleusercontent.com/pw/AP1GczN-FCu6AOj2931eY8vODlsv2pvQuZ3oMQn2iXf0g_k6kDk8WnN6MA8nI3e0zmqOoOD1jbZe3SAlWi0EyRYlbUdOvp-bBL6anMmeuy6OU-lkOhNFmrYk,unknown,10T,3,Iles Yellow Latvian,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,31,31,phase_2_repot,Phase 2 Repot,,phase_window,open,ready_auto_resolved,none,manual_row_override,Ready (Auto-Resolved),ok,label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override; pot_id_from_manual_row_override; series_from_manual_row_override
2026-03-27,context_default,523,AF1QipPe1nT3ckOgWYGjXautudWZ_PJKbg9srGRJARHN,2026-03-27,2026-03-27T18:21:32.998000-07:00,https://lh3.googleusercontent.com/pw/AP1GczOM4CMvzZzuDDDg9qDwErcLQiCBxGim54FUBaR3_vr-NlchewO0cB9SqXJrqMtoQYDpmgmfWY9W1Q29iT-opeayq5Jrgy7VcTu--LG9sJ-bWXmXZw1L,unknown,11T,3,Iles Yellow Latvian,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,31,31,phase_2_repot,Phase 2 Repot,,phase_window,open,ready_auto_resolved,none,manual_row_override,Ready (Auto-Resolved),ok,label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override; pot_id_from_manual_row_override; series_from_manual_row_override
2026-03-27,context_default,524,AF1QipNHzVb5MP9oRwMorTEMt0oCgQwnUfLu1xHLSGUP,2026-03-27,2026-03-27T18:21:43.014000-07:00,https://lh3.googleusercontent.com/pw/AP1GczPYU9OejBLaOv252gIuMtZ5pVilXOvcAMblLQveD0b7XPQ4HmR8EcDd9kJ1HqnNmPAED1XnJYuYeE2u0FtZcFsQq31lQe2XLjg2RQEuTGv8hx1jexhv,unknown,9T,3,Iles Yellow Latvian,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,31,31,phase_2_repot,Phase 2 Repot,,phase_window,open,ready_auto_resolved,none,manual_row_override,Ready (Auto-Resolved),ok,label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override; pot_id_from_manual_row_override; series_from_manual_row_override
2026-03-27,context_default,525,AF1QipO9awFpKBBwon-pIExxyfsliLSKzM2PSnLs9AOC,2026-03-27,2026-03-27T18:21:46.068000-07:00,https://lh3.googleusercontent.com/pw/AP1GczOBvyyKYkl3ZmwBxbCr_IrT1lZPHwOqx8etQIuQah7xu5WFMbPqcivlroLtx9qTMzR3X0n7jzm74grdpfVhWS1f3qcUqBHyRG6QEWqNjjGrTTtpz5Us,unknown,12T,3,Iles Yellow Latvian,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,31,31,phase_2_repot,Phase 2 Repot,,phase_window,open,ready_auto_resolved,none,manual_row_override,Ready (Auto-Resolved),ok,label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override; pot_id_from_manual_row_override; series_from_manual_row_override
2026-03-27,context_default,526,AF1QipNe2SvH_7crrW3Y99otRVDVzUoJjcc252ao-dDF,2026-03-27,2026-03-27T18:21:48.149000-07:00,https://lh3.googleusercontent.com/pw/AP1GczOcjxaEJttJ2yYIH8gQBClkXqXX6jh3AoJdQIJpZTCo06K3XtY09ChwvErVtDyNUIhXrgqPQT4bwMFrUWGqyQqFQXjPEvOLFXAk1eLlUJvUKo30nbI9,unknown,8T,3,Iles Yellow Latvian,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,31,31,phase_2_repot,Phase 2 Repot,,phase_window,open,ready_auto_resolved,none,manual_row_override,Ready (Auto-Resolved),ok,label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override; pot_id_from_manual_row_override; series_from_manual_row_override
2026-03-27,context_default,527,AF1QipMK68uUnd5UgDwknN_g_FZqiY80M8p4NtzMLGLx,2026-03-27,2026-03-27T18:21:50.202000-07:00,https://lh3.googleusercontent.com/pw/AP1GczPKD4SrjJtPXyEWjK09mSvp84TjB82UtLCvNLjWuIyJD9iLGeOlT936siGnzFUbg-s1VnQwTHEwb5dHJ6XDPZkNYwp4UfsuE4UUAW-lcl83ViBivNgK,unknown,5T,1,San Francisco Fog,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,31,31,phase_2_repot,Phase 2 Repot,,phase_window,open,ready_auto_resolved,none,manual_row_override,Ready (Auto-Resolved),ok,label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override; pot_id_from_manual_row_override; series_from_manual_row_override
2026-03-27,context_default,528,AF1QipNPABAUDE6IEqkdORrL1LKhL6kgjcgS0khN0ad5,2026-03-27,2026-03-27T18:21:53.072000-07:00,https://lh3.googleusercontent.com/pw/AP1GczPbYxqcrga-p5GZ0grsajgYa0PfmLD8aFK3ugTzgsALDHTLXgycjyzwZOkCIGafPC4-vfKO4a-Op3KYUrL7-5j3GuyxDAxteG3Ny8x5rd5ZVmnIytLo,unknown,3T,1,San Francisco Fog,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,31,31,phase_2_repot,Phase 2 Repot,,phase_window,open,ready_auto_resolved,none,manual_row_override,Ready (Auto-Resolved),ok,label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override; pot_id_from_manual_row_override; series_from_manual_row_override
2026-03-27,context_default,529,AF1QipMZ1-lRdW9aHEMNF7vSl3zxqLRd5TvVRHM5gptm,2026-03-27,2026-03-27T18:22:01.030000-07:00,https://lh3.googleusercontent.com/pw/AP1GczNoiAE8QwJKpj9SvPds_LT-EKLexjU3rGXJJPn-R0ZA-B8eKOr0CDJcHXT7wRdbvTTD9vNQQcktshDGbyhKkfsSjqIsenQw1pM35E8TvPIVB4ZZTVVr,unknown,6T,1,San Francisco Fog,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,31,31,phase_2_repot,Phase 2 Repot,,phase_window,open,ready_auto_resolved,none,manual_row_override,Ready (Auto-Resolved),ok,label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override; pot_id_from_manual_row_override; series_from_manual_row_override
2026-03-27,context_default,530,AF1QipOPAKHu3Yix7ZVeDpzyiCy_8zwRcrXHgyu7tvJF,2026-03-27,2026-03-27T18:22:06.212000-07:00,https://lh3.googleusercontent.com/pw/AP1GczNo8GMMqFSrQjMLA7KuMginAWRbEdbMNecLoABb1siDn0AnhzD7Je3r3TQ5KAUU2kAKXGYHNVHzxQfnXAsk2ubLapHhfU-klMkVFmJdCSCcqAS3AfjX,unknown,4T,1,San Francisco Fog,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,31,31,phase_2_repot,Phase 2 Repot,,phase_window,open,ready_auto_resolved,none,manual_row_override,Ready (Auto-Resolved),ok,label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override; pot_id_from_manual_row_override; series_from_manual_row_override
2026-03-27,context_default,531,AF1QipPC1CWz5msaxDP3ud-v_SyG6ueiM0ouM0nWKcT1,2026-03-27,2026-03-27T18:22:12.363000-07:00,https://lh3.googleusercontent.com/pw/AP1GczPUJFzhqo6OKDA6uCkVSDVoUMB7CuondwHlP_jLbcfVvf1U10YkhDMsWr1jH03scrnsVvYvbGUo5Qgirg42WPR6iHac_LI1Ry1TtM74ht7vxO__LENx,unknown,13T,6,Japanese Black Trifele,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,31,31,phase_2_repot,Phase 2 Repot,,phase_window,open,ready_auto_resolved,none,manual_row_override,Ready (Auto-Resolved),ok,label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override; pot_id_from_manual_row_override; series_from_manual_row_override
2026-03-27,context_default,532,AF1QipMxs_P-Pe0mms_rGOub3vTdngQlZ0kcaMv4vCZi,2026-03-27,2026-03-27T18:22:13.865000-07:00,https://lh3.googleusercontent.com/pw/AP1GczPFjRwyVn5nkE0wL1Q7HZD_nxNGmUOa8YXIR9Xibaw75OPrOki7-QUY-zXajem-Yoj1jOAQHlUtbyaC2zu_ggIG40X6KEXppwKw7CCEJ2zHe1Isz9vr,unknown,17T,6,Japanese Black Trifele,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,31,31,phase_2_repot,Phase 2 Repot,,phase_window,open,ready_auto_resolved,none,manual_row_override,Ready (Auto-Resolved),ok,label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override; pot_id_from_manual_row_override; series_from_manual_row_override
