pot_id,varietal_number,variety_name,run_a_date,run_a_asset_id,run_a_photo_url,run_a_ocr_confirms_pot,run_b_date,run_b_asset_id,run_b_photo_url,run_b_ocr_confirms_pot,missing_in_run_b,analysis_bucket,analysis_notes,follow_up_priority
1T,5,Nikolayev Yellow Cherry,2026-02-27,AF1QipNkNoPwuiEal7zLlF1luNvKjGdOMuwLzCIZ1XYC,https://lh3.googleusercontent.com/pw/AP1GczMspnDV4yy6NgNlxgybeEO1gNnv5SvZ2YwRQhAQtnzq-ypeUErNXJLVb9s3JXaBBrv_cEPeLH2o_BhgYx3culTiJ0u5eaoEgZ_TMeZWDujH1pXblORm,False,2026-03-22,AF1QipOH1CE1zoKcbSH8VDP4OFKR9T20Sv-fYkabb1_Z,https://lh3.googleusercontent.com/pw/AP1GczNDYcD9cPtv4RdI3EYGBh4JiV2WLCGhDHsBjBKNYgQqL0WYovs2OA6i6lwi-QrrZzQSjEGmW2IW8jjQ7hK71R52V3jSnHxQpN4XLlmGAdeV2BUC1Bps,no,False,strong_establishment,Multi-stem seedling with clear foliage increase by last day.,low
2T,5,Nikolayev Yellow Cherry,2026-02-27,AF1QipM8_VNjFYM6p6XZxnmZbDEe2Jta-agf8uMv3HRX,https://lh3.googleusercontent.com/pw/AP1GczMqxFz88jhevGGborYJjQn9TO37YSA1Yn_J6HhEnA7NfJnqdmp4HbyOINvkrwhVJBC8fQzPOxKa3EPgEBRx_n1wIr965ExCbBvtInDrH6ZcM3IH4src,False,2026-03-22,AF1QipOmx0khNA2MjISRsGebfGy3OZ6nqkvIP9Sxd7S6,https://lh3.googleusercontent.com/pw/AP1GczOW1H4nLz9qN3H1UWTqOttYZ4ZP2426O4gMTvXIIoMjR2if1e-3VDOVs0PECvu-SFmvEhzrlJgBxScyw5Qux_JGuUBKeIdDAd0OES1FqQ-a8L2bDrJU,yes,False,strong_establishment,Shifted from tiny sprout to clearly established seedling.,low
3T,1,San Francisco Fog,2026-02-27,AF1QipPs5VaxkM25iMl5SmV5FGCnaaoIuO2T0AlKaJDc,https://lh3.googleusercontent.com/pw/AP1GczPj0LcfwL6u4FKikzzERHKEe2r4Aeemp8WSIukvKcEf77d7hhQBdT0VP-v1hjS0lfh6aCaTSRYBeAhc2N3PyXOtMzyI70LJCqjK3VPZZFtkNvZGYiz3,False,2026-03-22,AF1QipMMzpA1yZ8tirFj5YJdiXNculFzJ4KJokBnx_gj,https://lh3.googleusercontent.com/pw/AP1GczNlAWg8xdW7x1gvGONlcT4ZR2OBRYrpOlAlA66um9Ru9mO66cOCqUMsU-30dNxo9QFig5I1JUZF5uxN0i90kMhZ9lC68n6dq8WSR2pCNLBSZGwufubm,no,False,modest_establishment,"Visible growth, but still small and sparse relative to stronger pots.",medium
4T,1,San Francisco Fog,2026-02-27,AF1QipMxykxrPSUc6w0Sfi5syejDGOKOoZpIr4sDFLm2,https://lh3.googleusercontent.com/pw/AP1GczPDMVWYjdcJEfLfSyLldRqqFEgaOiY2ANB8hldouIAqy_J-08omhsCvbq-b6Z-f2UD1--DRwai0f-szHUGpg2cstd6r9hNxgkscxEHrxjWsk-nZo2On,True,2026-03-22,AF1QipOiQDq3C07kUZFEqywHgUWTI77CAe6T-nEUxVqF,https://lh3.googleusercontent.com/pw/AP1GczO1DLPqM0TdVPnBEvLuOd9qqPcUUyxOvHklzhxZLsq2-RllPoTP69nQJYH3MNMlq6jmsrqI2xUfjX-gKhQJRZtKKdzY9Y72MsRguqhOeRqM9__dQx9T,no,False,strong_establishment,Clear leaf and height gain; one of the stronger early San Francisco Fog pots.,low
5T,1,San Francisco Fog,2026-02-27,AF1QipMuRYdh97xeszs34rqMRR0sncEgNU-1RSBC0iz8,https://lh3.googleusercontent.com/pw/AP1GczNO50WfF518Cy03IelfloUktfgNH7c_lk_FHQpPhq3k6-gEccPSkxFJq7AYO5DeiRVHDetXn4CCyppiyDNxQqt1nsn6fQJIpEZxR00BIV2MXusD8Vf_,True,2026-03-22,AF1QipNYIFQ1bzgqKRNHdLKoQGF-mEEfzNjIVCyqs7tg,https://lh3.googleusercontent.com/pw/AP1GczOq3cM7jHfC9-IXrcIOq3CQAckDp7SqrEvXqyx7JlT_qkqH5KJCYnbos-zoCIqNwjEW3DqirSvloYz0NX7RNgJbBGEBrnMc8Atcp5o3OTG4_m9MhiG8,no,False,strong_establishment,Multiple leaves and visibly better establishment by last day.,low
6T,1,San Francisco Fog,2026-02-27,AF1QipOh2iMlMQ7BT_GI2stqUxDG0ASkO8q7N_Gzp1mw,https://lh3.googleusercontent.com/pw/AP1GczNexmoMldYiO-5ZxWlBQbDqpzm-TOlMjIVYfehr9l4uNw_6RHB4TeszoGreTKYDV90_Plfn4MWhxVnahcR0U82-9_r5NlrYLO2hTxKzRPeYP69bG0B_,False,2026-03-22,AF1QipObw-Ae0W4Lk-0YoIT0AfDh_cYZe5kokzxoHodR,https://lh3.googleusercontent.com/pw/AP1GczN-UI0dF3Yns2jffSLqoDjUUpF1C26ocRcYFIMpWcPfJ-gzbOLxxdZjioIRI150wd9HGQ6yE5U5mc-3sPaqvm8qQqbi8wuSL-5yBvAoszVdZ6yGpUGK,no,False,modest_establishment,"Alive and larger, but still small and somewhat underpowered.",medium
7T,9,Sasha Altai,2026-02-27,AF1QipMOrNyIbBFmWPB1l0MKNFxFAkvt1kqdtsz1vNRj,https://lh3.googleusercontent.com/pw/AP1GczNpueT12SXMsMrHdCSbRX0urRlLgcBnz5e70xcf0xpkMmaVQ5379H2GqOJZQDQkkBstFyPqXZTByLJ9N1UI02J5idg0shQnnTJIVEhCOKNmkIWnL67A,True,2026-03-22,AF1QipNXs1sZwuNgRfWVxitKob4OQQqjFl6U68P8jqyH,https://lh3.googleusercontent.com/pw/AP1GczOw4QVxYft6tatckDzBuQhJXm9mIb_bZtd6HZPS0delkdrtnYTQoXo5_e69MMZ6VX13FpHiJEREWE329iRJZDAbu3W4EQ8TRQDm16NeATmroaxF8wSP,no,False,strong_establishment,Compact but clearly established by the end of phase 1.,low
8T,3,Iles Yellow Latvian,2026-02-27,AF1QipM5jM5GYBXRvXyJF6QM_c1PeZheaz2reTEUt5K-,https://lh3.googleusercontent.com/pw/AP1GczOAnNE-AntYNp3NqwVrSekv-DWmBx4X8517cw0BX4oxkAfFpENyfu9-Z25fqKrgZibBCFnhtktescugXwsLIhRJus1xEePli-zSRQBMxVtuBObZRY_Z,True,2026-03-22,AF1QipP9o_6YXpv3CPTl8fVgvL_OxruKN8_BSDvhoOTk,https://lh3.googleusercontent.com/pw/AP1GczMSzolkE5j2LkqbRIxqSzCDUOAuPC3B6NoqEKZuYjQJtxDFX1FSuzxlRKFLkoCUBiHqrvLBtACNKOK_HU_LL-SycqReQ-kzYogRSgIKTrsJXpEsTDpQ,no,False,strong_establishment,Good foliage increase and more confident canopy presence.,low
9T,3,Iles Yellow Latvian,2026-02-27,AF1QipNu1M2E0AEQYK7hFn3pmzbxiIGeSq5J5Dotovbe,https://lh3.googleusercontent.com/pw/AP1GczNxvEUUByth3inm218o3N36rOfEqO8mtAy2HE1nIHSpOo5heE4FTj8KG6NfFMnaWOpKQaBUSm3n-1PpFLwgqidfKsE1AzD---Q5dSGENejr-mtoXwQ-,False,2026-03-22,AF1QipMOW7T6QOIUC1-8H3CKTQdF1NkjizD-pLz-dWeN,https://lh3.googleusercontent.com/pw/AP1GczNHaCIa6Y06UaaX_nLVIqSfioKexbyo-z9JfHU6mXy-crnkdC5jtG9wvP4iqVc7FelDuReiIvC-gzSGV8I3V_qko9ky-GLvbsP8QitbFLYUernuDETj,no,False,modest_establishment,"Improved from baseline, though still undersized.",medium
10T,3,Iles Yellow Latvian,2026-02-27,AF1QipPQ3ZWzolhWl3_1pB8e_6oGzGgs5Zr27sPloFFL,https://lh3.googleusercontent.com/pw/AP1GczNf_XOSQLU-S56-YXdNNKgl3cMQ89E8uBh-VA-pO5FSTp-DWWRCgAi03XaCQqwOn8I4vDevbPG-p0lf2iDd8yaGuRYBqEF8CFcWMvA5t9Ama2fqL3dZ,False,2026-03-22,AF1QipNqz_DoewONsSD77N7UbbnC0Scu8FkYZpVkjEcc,https://lh3.googleusercontent.com/pw/AP1GczPFxcuPSfJt8WR7__7qhEQcvAumeJSEy_n2jTOCwSc_zFmafIu4XztIEAcv1TGGZe3A4RrGjJkdtRqEbwh1DDjsIVIsNbGJTWylWaIQfsT5ZpZ_tNpt,no,False,strong_establishment,Clear step up from baseline with a readable seedling canopy.,low
