pot_id,pot_number,variety_name,capture_date,source_asset_id,photo_url,image_path,overlay_path,crop_path,baseline_source_asset_id,baseline_capture_date,anchor_mode,anchor_confidence,label_confidence,focus_score,center_offset_ratio,pot_coverage,neighbor_spill_ratio,spill_in_pot_ratio,plant_count_estimate,canopy_components,chlorosis_ratio,growth_delta,health_score,tracking_readiness,next_step_code,next_step_text,data_quality_flag,blur_score,brightness_mean
1T,1,Nikolayev Yellow Cherry,2026-03-11,AF1QipPWVGFvcyIs2zcZa66TOcrZdhrpPzTb5jt_oPQk,https://lh3.googleusercontent.com/pw/AP1GczM7iRcuwP2N1DkDD3FxgtZzS1758xUjcMpszBTDfePAMCdHgVxSq69IzUtNhOFRvmhq7zO3W1hZShqOo1YSlKWteiXYoeoJRAfKDwQ8s_nOE0L948ei,local/non_tomato_species/images/426_AF1QipPWVGFvcyIs2zcZa66TOcrZdhrpPzTb5jt_oPQk.jpg,assets/v1-10-pot-cv/1t_af1qippwvgfvcyis_overlay.jpg,assets/v1-10-pot-cv/1t_af1qippwvgfvcyis_crop.jpg,,,plant,0.635,0.0,0.514,1.205,0.040839,0.516466,0.552414,1,1,0.040925,,52.16,low,needs_neighbor_disambiguation,Foreign foliage is still entering the target crop or crowding it too closely; this pot is a good candidate for custom pot-mask labeling.,neighbor_spill,1128.828,104.854
2T,2,Nikolayev Yellow Cherry,2026-03-11,AF1QipM3SQB7-6uddH56hVUC9pAPbi6rGebeje4WbBdk,https://lh3.googleusercontent.com/pw/AP1GczNkfdsB1NdXp9EfIfx7n3vJchtOSJKwhw_49REybzEuMUcnU1IdkbS9dbTh5zymqIvDoDWZ8k8gVo9wJxclJ2Q0v1VUIY7GZtf_N9YH6gcfwiQzKT2u,local/non_tomato_species/images/425_AF1QipM3SQB7-6uddH56hVUC9pAPbi6rGebeje4WbBdk.jpg,assets/v1-10-pot-cv/2t_af1qipm3sqb7-6ud_overlay.jpg,assets/v1-10-pot-cv/2t_af1qipm3sqb7-6ud_crop.jpg,,,plant,0.657,0.0,0.578,0.763,0.044809,0.451773,0.314125,2,2,0.184054,,55.95,moderate,ready_for_mask_labels,Frame quality and pot isolation look good enough to start custom pot/plant mask labeling for indoor tracking.,ok,1424.072,121.466
3T,3,San Francisco Fog,2026-03-11,AF1QipPkak4sddP9A5-TF5zVK5D6g7uVqNIJmV0HzlUx,https://lh3.googleusercontent.com/pw/AP1GczP8Xll61odEvCTFnow1kdgDSK2lnD8whdiTHi8bgHzKqOiAZpMmbz6UoiyFjrCdwoRoxl2rDj1MAJBjR1xvRc9ube_ZBmHmjWIohFRPn9US97dUIuL9,local/non_tomato_species/images/450_AF1QipPkak4sddP9A5-TF5zVK5D6g7uVqNIJmV0HzlUx.jpg,assets/v1-10-pot-cv/3t_af1qippkak4sddp9_overlay.jpg,assets/v1-10-pot-cv/3t_af1qippkak4sddp9_crop.jpg,,,plant,0.943,0.451,0.822,1.739,0.061006,0.116647,0.162175,4,4,0.027906,,70.59,moderate,prepare_thinning_count,Multiple seedling clumps are visible; this is a strong candidate for count-based thinning and growth tracking.,ok,1730.485,104.253
4T,4,San Francisco Fog,2026-03-11,AF1QipPiFscP_XsoFilUeOdImxQeQECVqnAU4Go5M656,https://lh3.googleusercontent.com/pw/AP1GczMZldMQ3BvrXLu4pSo1sF5wWGMrvXG-nn4982UUpDDvSXP2nG9QWQjqBaYMJrQdCO5LQkrbQl1X9WvpJowOrZziojtUb14HV4IOuqUiGifOFgp1wBU7,local/non_tomato_species/images/449_AF1QipPiFscP_XsoFilUeOdImxQeQECVqnAU4Go5M656.jpg,assets/v1-10-pot-cv/4t_af1qippifscp_xso_overlay.jpg,assets/v1-10-pot-cv/4t_af1qippifscp_xso_crop.jpg,,,plant,0.677,0.474,0.444,0.974,0.035318,0.691665,0.64933,1,1,0.270802,,44.37,low,needs_neighbor_disambiguation,Foreign foliage is still entering the target crop or crowding it too closely; this pot is a good candidate for custom pot-mask labeling.,neighbor_spill,2883.447,75.419
5T,5,San Francisco Fog,2026-03-11,AF1QipOgIFZ9tBItB4LVsfNo6qyz6EMWOcJioKodQCfs,https://lh3.googleusercontent.com/pw/AP1GczPh7taTIHIJcnGA_Jv3hB0ra2bCDrt9r_HmIwnU75BsRRcjrllb_j-PbkyYBne2sz5WsZvhp9WNrP43tfMSBsmIh4o5dzsmVxURVIzN7IJYG6ahGoOS,local/non_tomato_species/images/443_AF1QipOgIFZ9tBItB4LVsfNo6qyz6EMWOcJioKodQCfs.jpg,assets/v1-10-pot-cv/5t_af1qipogifz9tbit_overlay.jpg,assets/v1-10-pot-cv/5t_af1qipogifz9tbit_crop.jpg,,,plant,0.659,0.313,0.578,0.767,0.137035,0.451652,0.325659,2,2,0.277848,,66.93,moderate,needs_neighbor_disambiguation,Foreign foliage is still entering the target crop or crowding it too closely; this pot is a good candidate for custom pot-mask labeling.,neighbor_spill,2723.526,115.401
6T,6,San Francisco Fog,2026-03-11,AF1QipMyB0YYgkxe-Y8UO8qiLBqBMIkap-pAkL-Fajtd,https://lh3.googleusercontent.com/pw/AP1GczPW1i8kne41lngZAdk7n_YVSTRu3Wkr01NpoJMRrKF10aEBoNOTK2xaf11Dy5XNgkWW48JJqhTBiJ4fr66rM-jTX9CqRFOkHIo91-h9wuzLTBYQ5fpb,local/non_tomato_species/images/444_AF1QipMyB0YYgkxe-Y8UO8qiLBqBMIkap-pAkL-Fajtd.jpg,assets/v1-10-pot-cv/6t_af1qipmyb0yygkxe_overlay.jpg,assets/v1-10-pot-cv/6t_af1qipmyb0yygkxe_crop.jpg,,,plant,0.943,0.0,0.878,1.152,0.192473,0.004513,0.00157,4,7,0.0968,,79.76,high,prepare_thinning_count,Multiple seedling clumps are visible; this is a strong candidate for count-based thinning and growth tracking.,ok,1016.472,103.977
7T,7,Sasha Altai,2026-03-11,AF1QipMCkmwsuqa3pYy5UlR5IDx-vuiUjmZnNkpH4-3-,https://lh3.googleusercontent.com/pw/AP1GczPUD5iQUsRf4Hnn04Ah_hYXDzIPHlJNRKX_p3W-VAHxT2pkq0dhu5_g_fD-OsbZNKZxrWcWuTUBvNg87EH4wudm-bLgHKIRcfVFNN7nKNbopCK3pe3n,local/non_tomato_species/images/446_AF1QipMCkmwsuqa3pYy5UlR5IDx-vuiUjmZnNkpH4-3-.jpg,assets/v1-10-pot-cv/7t_af1qipmckmwsuqa3_overlay.jpg,assets/v1-10-pot-cv/7t_af1qipmckmwsuqa3_crop.jpg,,,plant,0.908,0.603,0.892,0.729,0.175759,0.006366,0.008203,3,5,0.022336,,86.07,high,prepare_thinning_count,Multiple seedling clumps are visible; this is a strong candidate for count-based thinning and growth tracking.,ok,1378.449,122.27
8T,8,Iles Yellow Latvian,2026-03-11,AF1QipOEEWa3kQCf6FT6eQgYgnX_Zo76_0kN-KGLqvLs,https://lh3.googleusercontent.com/pw/AP1GczOdXtRw9sF1kQPtv8b5rMcW2y49JQC_SskbjVZCkLgQR936gI9fgNJ8vSXxzPvtesSYkHGAO9c3SiA5ME4VWNNV-yaadFSrHMm37vkn0EIR0IvLjILL,local/non_tomato_species/images/447_AF1QipOEEWa3kQCf6FT6eQgYgnX_Zo76_0kN-KGLqvLs.jpg,assets/v1-10-pot-cv/8t_af1qipoeewa3kqcf_overlay.jpg,assets/v1-10-pot-cv/8t_af1qipoeewa3kqcf_crop.jpg,,,plant,0.874,0.0,0.844,1.402,0.107456,0.022882,0.026061,1,2,0.158,,79.66,high,ready_for_mask_labels,Frame quality and pot isolation look good enough to start custom pot/plant mask labeling for indoor tracking.,ok,1538.778,86.944
9T,9,Iles Yellow Latvian,2026-03-11,AF1QipM7ZfLUpNlD9b-dqZ-Jq78bm_6Pb13IRFSKL2ZV,https://lh3.googleusercontent.com/pw/AP1GczNZ4HUHJPe27T1I-6WwU5feUftiYjr3gptsvSl2FdaEX4R6G8x7gY7UBGsT4pOklTK6abGabQ8jbnktFZDyAli8XM_t1hnOK2vOLFxa7Sg9Qe-_EhD-,local/non_tomato_species/images/445_AF1QipM7ZfLUpNlD9b-dqZ-Jq78bm_6Pb13IRFSKL2ZV.jpg,assets/v1-10-pot-cv/9t_af1qipm7zflupnld_overlay.jpg,assets/v1-10-pot-cv/9t_af1qipm7zflupnld_crop.jpg,,,plant,0.598,0.0,0.783,0.519,0.036239,0.049505,0.0,1,1,0.374046,,54.21,high,inspect_leaf_health,Yellowing persists inside a relatively clean canopy crop; add close-up health photos before trusting growth trends.,ok,1030.735,82.204
10T,10,Iles Yellow Latvian,2026-03-11,AF1QipPaZOTo6UGdG7Xu1Q9IPF3DPdPF_evz74bM1ajj,https://lh3.googleusercontent.com/pw/AP1GczNs5pDop3U1dqx6WhH8BiOZWoNbYoh68kkpIpOYK4m5f0hvlbmOndS5_XV6JvXTCfxjkjQ6zp-eX5a20ZfhjkWuQd5oRsJDIVyepNOE7fDCDFDfjMH5,local/non_tomato_species/images/442_AF1QipPaZOTo6UGdG7Xu1Q9IPF3DPdPF_evz74bM1ajj.jpg,assets/v1-10-pot-cv/10t_af1qippazoto6ugd_overlay.jpg,assets/v1-10-pot-cv/10t_af1qippazoto6ugd_crop.jpg,,,plant,0.924,0.0,0.78,1.074,0.178599,0.18587,0.199179,4,7,0.129985,,72.03,moderate,prepare_thinning_count,Multiple seedling clumps are visible; this is a strong candidate for count-based thinning and growth tracking.,ok,2113.503,122.462
