run_date,row_index,pot_id,pot_number,source_asset_id,photo_url,image_path,matched_variant_count,ensemble_numbers_detected,task,full_crop_path,center_crop_path,label_crop_path
2026-02-28,59,1T,1,AF1QipPdG_T6UaPwBUD1RGWtW2icgq6HQUXJSBMzrBw0,https://lh3.googleusercontent.com/pw/AP1GczNJQ-lqly7-xBJ-l34F-wgErqItgEtx7-7CaLyjI7FkCJU-NXgSR86F9c8HgKc3vDVpkymmkNt4D87lIXHp_Hpx85mztsw8x2UK0QdMuuyvnNpnjmxI,local/non_tomato_species/images/59_AF1QipPdG_T6UaPwBUD1RGWtW2icgq6HQUXJSBMzrBw0.jpg,0,"2,3,4,5,7",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_1T_59_AF1QipPd_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_1T_59_AF1QipPd_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_1T_59_AF1QipPd_label.jpg
2026-02-28,60,2T,2,AF1QipPanucT93rePbK9xX_BQVLGL0wKqkUC2oQVjCNj,https://lh3.googleusercontent.com/pw/AP1GczNxLKVf8Mn_Q_8H3wON3bIAD1FR5BppmWTUUo-KY6ayeqvUNED5Fs6uKVIkOC8-ilnilHUGkj37VCm-b1u6Tgan_zIiaSElNmxu5UHTjumExEpnIpPc,local/non_tomato_species/images/60_AF1QipPanucT93rePbK9xX_BQVLGL0wKqkUC2oQVjCNj.jpg,0,"1,3,4,5,7",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_2T_60_AF1QipPa_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_2T_60_AF1QipPa_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_2T_60_AF1QipPa_label.jpg
2026-02-28,63,5T,5,AF1QipPubP7Cfb9shgNI4FKnCnkt3v85xCt7AsTwt7S6,https://lh3.googleusercontent.com/pw/AP1GczMrotArG2N2Zxz7La5MVYV5pjHMDgQr7yCU229yKNevYqyjTNUXHQ0lXtrGIssYmB_Lp-_H7LWmpl_87Z4K2WB80jYWQXa5Nz4NN2YwSKSbXDNNsdTz,local/non_tomato_species/images/63_AF1QipPubP7Cfb9shgNI4FKnCnkt3v85xCt7AsTwt7S6.jpg,0,"1,2,3,4,7,27",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_5T_63_AF1QipPu_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_5T_63_AF1QipPu_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_5T_63_AF1QipPu_label.jpg
2026-02-28,64,6T,6,AF1QipO0FF9Lbn43TXTt13Dwd5iLZtqrkOBABwpAla08,https://lh3.googleusercontent.com/pw/AP1GczM6bc1F-B2201LBBcQ1R5xYlONlTPuwvHw-1b853scHZaFhcpUTjbEnv20T4TH7cLE-fne0q8v3rKhrKlvxdDCclsmyWwEqhim6od-OCBqfTRCJ0GzG,local/non_tomato_species/images/64_AF1QipO0FF9Lbn43TXTt13Dwd5iLZtqrkOBABwpAla08.jpg,0,"2,5,7",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_6T_64_AF1QipO0_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_6T_64_AF1QipO0_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_6T_64_AF1QipO0_label.jpg
2026-02-28,66,8T,8,AF1QipNa_4m2EBDAlOxdIjS7hFZ5qQC7FzMHuKmo7-xM,https://lh3.googleusercontent.com/pw/AP1GczNZ14SytXrEOxI8P9lyQ3iPkimLtQ5de-L2-bbt5f_XzQ4qIvW7DF-UyByeHuN3biTzW5wSf2IV1fCPhIAxWdFOuSi-vbZRQT3US7cUh4QHK7bH2EYn,local/non_tomato_species/images/66_AF1QipNa_4m2EBDAlOxdIjS7hFZ5qQC7FzMHuKmo7-xM.jpg,0,"2,3,4,5,6,7,12,17,24",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_8T_66_AF1QipNa_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_8T_66_AF1QipNa_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_8T_66_AF1QipNa_label.jpg
2026-02-28,68,10T,10,AF1QipNsdwNtWA9hWh1GFXTU70rlrG8HIzAVQFyZCBcI,https://lh3.googleusercontent.com/pw/AP1GczPY6dYaq7iG8qEsiYj0QuRpZ95SEZAh-oNvTrakKnIrKR4NEkierYP97--0SbVuTqVkv5TTijWNAKybI9jtrGRxb787vYf4KR6njWBLAOZXhXIQvZRq,local/non_tomato_species/images/68_AF1QipNsdwNtWA9hWh1GFXTU70rlrG8HIzAVQFyZCBcI.jpg,0,"1,2,4,5,22",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_10T_68_AF1QipNs_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_10T_68_AF1QipNs_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_10T_68_AF1QipNs_label.jpg
2026-02-28,69,11T,11,AF1QipOtfgGC6kw6p74wMcF5b0RrV_9q3JEA88Toh1lv,https://lh3.googleusercontent.com/pw/AP1GczNlnosxWkahCkTkX5UMOKhwZ-FF70dYy-uhfpI3wKxWSe2UTQbuOLNRy3K5MKt7GwMqBmE2E-Cvm8A7jhoqO1qtqKKCrLDxmIoAhUkZ9Q0yFQGnnyVT,local/non_tomato_species/images/69_AF1QipOtfgGC6kw6p74wMcF5b0RrV_9q3JEA88Toh1lv.jpg,0,"1,2,3,4,5,7,8,9,22,23",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_11T_69_AF1QipOt_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_11T_69_AF1QipOt_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_11T_69_AF1QipOt_label.jpg
2026-02-28,70,12T,12,AF1QipPlHHnlOJHRX4jyTuWRQGkWn2l8Ns9kgnIGF95-,https://lh3.googleusercontent.com/pw/AP1GczOCcR6enIjWMHLmX1kWphFXg2eFrM_dcMfIu5Ydpy0Qmg5ynSfW9P_1D88_wTC_1AH8Ht9pHjGx_gWmMYF-vkJvX4Wi6JDrH0bPNw_ZIQmrJvzsDYSO,local/non_tomato_species/images/70_AF1QipPlHHnlOJHRX4jyTuWRQGkWn2l8Ns9kgnIGF95-.jpg,0,"2,3,4,5,6,7,8",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_12T_70_AF1QipPl_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_12T_70_AF1QipPl_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_12T_70_AF1QipPl_label.jpg
2026-02-28,71,13T,13,AF1QipPq_BwQYcGRESnVbEXHxyGnNJyt8Hli_XP_F9Ww,https://lh3.googleusercontent.com/pw/AP1GczNAgyGShx_3KArN0_lXmTx4dkSio80OSY2ZPvnRRooO9oiNmaC86BeaV90YUU_XfmgKjMIH5ioLrgsFT5oyzsMfG85goZzb_mboc_3hZtR6aika3zpc,local/non_tomato_species/images/71_AF1QipPq_BwQYcGRESnVbEXHxyGnNJyt8Hli_XP_F9Ww.jpg,0,"1,2,4,7,9,25,27",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_13T_71_AF1QipPq_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_13T_71_AF1QipPq_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_13T_71_AF1QipPq_label.jpg
2026-02-28,72,14T,14,AF1QipMuK-0SFRt7JtKjjIAyaaPCEmFimg0WCyLXDJ5i,https://lh3.googleusercontent.com/pw/AP1GczP4TiAdzWFzcMEmQSKsOcK_FIxTqsgqtipYLNtmurlsjs2-9hMkQ7oa1qcxOo24nlGNbG8zpcUsCdBbxBfcyUbX7QOFOGmuJ0yHWlCrYgVd3aIKUsLp,local/non_tomato_species/images/72_AF1QipMuK-0SFRt7JtKjjIAyaaPCEmFimg0WCyLXDJ5i.jpg,0,"2,4,7,24,26",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_14T_72_AF1QipMu_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_14T_72_AF1QipMu_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_14T_72_AF1QipMu_label.jpg
