run_date,row_index,pot_id,pot_number,source_asset_id,photo_url,image_path,matched_variant_count,ensemble_numbers_detected,task,full_crop_path,center_crop_path,label_crop_path,suggestion_method,visual_top1_pot_id,visual_top1_score,visual_top2_score,visual_margin,visual_top3_pot_ids,ocr_votes_json
2026-03-22,490,8T,8,AF1QipNqz_DoewONsSD77N7UbbnC0Scu8FkYZpVkjEcc,https://lh3.googleusercontent.com/pw/AP1GczPFxcuPSfJt8WR7__7qhEQcvAumeJSEy_n2jTOCwSc_zFmafIu4XztIEAcv1TGGZe3A4RrGjJkdtRqEbwh1DDjsIVIsNbGJTWylWaIQfsT5ZpZ_tNpt,local/non_tomato_species/images/490_AF1QipNqz_DoewONsSD77N7UbbnC0Scu8FkYZpVkjEcc.jpg,0,"1,2,3,4,6,7,8,9,25,27",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_490_AF1QipNq_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_490_AF1QipNq_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_490_AF1QipNq_label.jpg,needs_manual,20T,0.21057,0.20255,0.00802,"20T,28T,30T","{""1"": 1, ""2"": 2, ""3"": 2, ""4"": 1, ""6"": 1, ""7"": 1, ""8"": 3, ""9"": 2, ""25"": 1, ""27"": 1}"
2026-03-22,491,2T,2,AF1QipMVme8B_Stel8u8aD6awKJvYA7r3QjY3MBs-1qb,https://lh3.googleusercontent.com/pw/AP1GczP-82d9GrzRwC7sIRM8x1Q38FvUNf_1hYEg6qWXvvIWeHgFd43OcEdWsV7ulVueSEArRRnV8rX1Iv4KaDSo3vQ71uHObYdu3wPVYFIcnuPEYf3W0KKf,local/non_tomato_species/images/491_AF1QipMVme8B_Stel8u8aD6awKJvYA7r3QjY3MBs-1qb.jpg,0,"1,2,3,4,5,6,7,8,32",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_491_AF1QipMV_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_491_AF1QipMV_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_491_AF1QipMV_label.jpg,needs_manual,4T,0.20550,0.20348,0.00203,"4T,17T,30T","{""1"": 1, ""2"": 3, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 2, ""8"": 1, ""32"": 1}"
2026-03-22,492,3T,3,AF1QipMOW7T6QOIUC1-8H3CKTQdF1NkjizD-pLz-dWeN,https://lh3.googleusercontent.com/pw/AP1GczNHaCIa6Y06UaaX_nLVIqSfioKexbyo-z9JfHU6mXy-crnkdC5jtG9wvP4iqVc7FelDuReiIvC-gzSGV8I3V_qko9ky-GLvbsP8QitbFLYUernuDETj,local/non_tomato_species/images/492_AF1QipMOW7T6QOIUC1-8H3CKTQdF1NkjizD-pLz-dWeN.jpg,0,"1,2,3,4,5,6,7,9,25",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_492_AF1QipMO_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_492_AF1QipMO_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_492_AF1QipMO_label.jpg,needs_manual,20T,0.21657,0.18653,0.03004,"20T,28T,24T","{""1"": 2, ""2"": 3, ""3"": 4, ""4"": 4, ""5"": 3, ""6"": 1, ""7"": 4, ""9"": 2, ""25"": 1}"
2026-03-22,493,4T,4,AF1QipNmwkz-EF7NO9Z8W5Z5HLO-18TqjYDFVAlo6wEa,https://lh3.googleusercontent.com/pw/AP1GczOwXUQlJblQlg_0tLnM8hwXt6RGji7lxXX8uBbfzenEnOR9E7SSgdL44OkUtpcLD1wgnnd4yWdKo6zIDjBSp6i8zvvQvkPId5OvgVEVwGzFBz8STtf1,local/non_tomato_species/images/493_AF1QipNmwkz-EF7NO9Z8W5Z5HLO-18TqjYDFVAlo6wEa.jpg,4,"1,2,3,4,5,7,8",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_493_AF1QipNm_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_493_AF1QipNm_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_493_AF1QipNm_label.jpg,ocr_visual_medium,4T,0.18267,0.17559,0.00707,"4T,27T,20T","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 2, ""7"": 3, ""8"": 2}"
2026-03-22,494,2T,2,AF1QipP9o_6YXpv3CPTl8fVgvL_OxruKN8_BSDvhoOTk,https://lh3.googleusercontent.com/pw/AP1GczMSzolkE5j2LkqbRIxqSzCDUOAuPC3B6NoqEKZuYjQJtxDFX1FSuzxlRKFLkoCUBiHqrvLBtACNKOK_HU_LL-SycqReQ-kzYogRSgIKTrsJXpEsTDpQ,local/non_tomato_species/images/494_AF1QipP9o_6YXpv3CPTl8fVgvL_OxruKN8_BSDvhoOTk.jpg,0,"1,2,4,5,9,14",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_494_AF1QipP9_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_494_AF1QipP9_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_494_AF1QipP9_label.jpg,needs_manual,28T,0.17466,0.16652,0.00814,"28T,21T,30T","{""1"": 1, ""2"": 4, ""4"": 1, ""5"": 2, ""9"": 1, ""14"": 1}"
2026-03-22,495,2T,2,AF1QipNYIFQ1bzgqKRNHdLKoQGF-mEEfzNjIVCyqs7tg,https://lh3.googleusercontent.com/pw/AP1GczOq3cM7jHfC9-IXrcIOq3CQAckDp7SqrEvXqyx7JlT_qkqH5KJCYnbos-zoCIqNwjEW3DqirSvloYz0NX7RNgJbBGEBrnMc8Atcp5o3OTG4_m9MhiG8,local/non_tomato_species/images/495_AF1QipNYIFQ1bzgqKRNHdLKoQGF-mEEfzNjIVCyqs7tg.jpg,0,"1,2,3,4,5,6,7,28",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_495_AF1QipNY_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_495_AF1QipNY_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_495_AF1QipNY_label.jpg,needs_manual,27T,0.22525,0.21158,0.01368,"27T,23T,20T","{""1"": 1, ""2"": 4, ""3"": 4, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 1, ""28"": 1}"
2026-03-22,496,3T,3,AF1QipMMzpA1yZ8tirFj5YJdiXNculFzJ4KJokBnx_gj,https://lh3.googleusercontent.com/pw/AP1GczNlAWg8xdW7x1gvGONlcT4ZR2OBRYrpOlAlA66um9Ru9mO66cOCqUMsU-30dNxo9QFig5I1JUZF5uxN0i90kMhZ9lC68n6dq8WSR2pCNLBSZGwufubm,local/non_tomato_species/images/496_AF1QipMMzpA1yZ8tirFj5YJdiXNculFzJ4KJokBnx_gj.jpg,0,"1,2,3,4,5,7,8",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_496_AF1QipMM_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_496_AF1QipMM_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_496_AF1QipMM_label.jpg,needs_manual,29T,0.23648,0.17885,0.05763,"29T,4T,10T","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 3, ""5"": 1, ""7"": 1, ""8"": 2}"
2026-03-22,497,4T,4,AF1QipObw-Ae0W4Lk-0YoIT0AfDh_cYZe5kokzxoHodR,https://lh3.googleusercontent.com/pw/AP1GczN-UI0dF3Yns2jffSLqoDjUUpF1C26ocRcYFIMpWcPfJ-gzbOLxxdZjioIRI150wd9HGQ6yE5U5mc-3sPaqvm8qQqbi8wuSL-5yBvAoszVdZ6yGpUGK,local/non_tomato_species/images/497_AF1QipObw-Ae0W4Lk-0YoIT0AfDh_cYZe5kokzxoHodR.jpg,0,"1,2,3,4,5,7,8",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_497_AF1QipOb_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_497_AF1QipOb_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_497_AF1QipOb_label.jpg,needs_manual,4T,0.23937,0.21991,0.01947,"4T,23T,27T","{""1"": 1, ""2"": 2, ""3"": 2, ""4"": 3, ""5"": 1, ""7"": 2, ""8"": 1}"
2026-03-22,498,4T,4,AF1QipOiQDq3C07kUZFEqywHgUWTI77CAe6T-nEUxVqF,https://lh3.googleusercontent.com/pw/AP1GczO1DLPqM0TdVPnBEvLuOd9qqPcUUyxOvHklzhxZLsq2-RllPoTP69nQJYH3MNMlq6jmsrqI2xUfjX-gKhQJRZtKKdzY9Y72MsRguqhOeRqM9__dQx9T,local/non_tomato_species/images/498_AF1QipOiQDq3C07kUZFEqywHgUWTI77CAe6T-nEUxVqF.jpg,0,"1,2,3,4,5,6,8",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_498_AF1QipOi_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_498_AF1QipOi_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_498_AF1QipOi_label.jpg,needs_manual,4T,0.21822,0.19495,0.02327,"4T,20T,23T","{""1"": 1, ""2"": 2, ""3"": 2, ""4"": 3, ""5"": 1, ""6"": 1, ""8"": 1}"
2026-03-22,499,4T,4,AF1QipMDyOd12fmf6IYb5x2uNBfb7bZkQgBw33OIdE-U,https://lh3.googleusercontent.com/pw/AP1GczNQFDr-ygt7tmbLYdnMBw9qmU9izv_HwCcGIcZz6KUl-X0xanW1NenP_mHBJOTIOzMznZSY07nEHullBEeDVs6VnvnSc8dNKfeheqdJqmVovLXOMmLR,local/non_tomato_species/images/499_AF1QipMDyOd12fmf6IYb5x2uNBfb7bZkQgBw33OIdE-U.jpg,0,"1,2,3,4,5,6,7,8,9",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_499_AF1QipMD_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_499_AF1QipMD_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_499_AF1QipMD_label.jpg,needs_manual,23T,0.26309,0.22408,0.03901,"23T,27T,20T","{""1"": 1, ""2"": 2, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 3, ""8"": 2, ""9"": 1}"
2026-03-22,500,7T,7,AF1QipMRYhfekGnJioyHxKke6f4Z-8Om6Bpi3OUW6eSa,https://lh3.googleusercontent.com/pw/AP1GczN2AzCzk1ZHOiMqKhAaE0EIgxkXergYDO9YUudhRuVm27xws0p7QD-7Ro4i01aHUO7YaZbRZo8rkp-ps_yZ7UxbGdozJaU8Uq6dpoTRv9BMbNH4k0rZ,local/non_tomato_species/images/500_AF1QipMRYhfekGnJioyHxKke6f4Z-8Om6Bpi3OUW6eSa.jpg,5,"2,3,4,5,7,8,16",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_500_AF1QipMR_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_500_AF1QipMR_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_500_AF1QipMR_label.jpg,ocr_high,28T,0.19948,0.19240,0.00708,"28T,20T,30T","{""2"": 1, ""3"": 2, ""4"": 4, ""5"": 2, ""7"": 5, ""8"": 2, ""16"": 1}"
2026-03-22,501,2T,2,AF1QipMaIzan3Ir-yo8YwXrsT767Ta0v6ArHulbpCNjG,https://lh3.googleusercontent.com/pw/AP1GczNss49JoydFSdlbhbA3c7-v6VemkY24bB3zx5YLAL9DxeEhIpo-AxOqh7dkTZVFOaX4uSXl8r0cw9XbztpcLw6wIw8AgWz3i6JQg8sMYBEYi7zAVzY3,local/non_tomato_species/images/501_AF1QipMaIzan3Ir-yo8YwXrsT767Ta0v6ArHulbpCNjG.jpg,5,"1,2,3,4,5,6,7,8,9",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_501_AF1QipMa_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_501_AF1QipMa_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_501_AF1QipMa_label.jpg,ocr_high,7T,0.16060,0.11313,0.04747,"7T,23T,8T","{""1"": 2, ""2"": 5, ""3"": 1, ""4"": 4, ""5"": 2, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 2}"
2026-03-22,502,2T,2,AF1QipM24ghfmD4BQ_xI7rw2D1uEZqFEjOmbjqWo-wdQ,https://lh3.googleusercontent.com/pw/AP1GczObMsck43d37juNAyiEThxsJNknSDgqeT0N58iBeYbFdTyrJJEFXF3Hp3tK7eR15IoAWm38U4diiYmPgCMWxTQrZ3v5OAw5SMh10PZ1HPT7ulm7TvL5,local/non_tomato_species/images/502_AF1QipM24ghfmD4BQ_xI7rw2D1uEZqFEjOmbjqWo-wdQ.jpg,0,"1,2,3,4,5,7,8,9,24,31",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_502_AF1QipM2_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_502_AF1QipM2_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_502_AF1QipM2_label.jpg,needs_manual,4T,0.19850,0.16662,0.03188,"4T,23T,20T","{""1"": 1, ""2"": 4, ""3"": 1, ""4"": 4, ""5"": 1, ""7"": 2, ""8"": 1, ""9"": 1, ""24"": 1, ""31"": 1}"
2026-03-22,503,3T,3,AF1QipP11JFyJxv2-5cCCGplu58rPJITnN4qZjkpPf8o,https://lh3.googleusercontent.com/pw/AP1GczOTrXoVAq6BOrnvwEYagrz02kClgn19_TuF9dAj9cIiiWBrQn56SJsXXFXXASHy_kWT5EMqlC0fXis2jYwX6rwfuW76bKwdByf4NbOhjnx0CVDLvbY9,local/non_tomato_species/images/503_AF1QipP11JFyJxv2-5cCCGplu58rPJITnN4qZjkpPf8o.jpg,0,"1,2,3,4,5,6,7,8,9,15,18",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_503_AF1QipP1_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_503_AF1QipP1_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_503_AF1QipP1_label.jpg,needs_manual,23T,0.26747,0.21826,0.04920,"23T,4T,27T","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 2, ""15"": 1, ""18"": 1}"
2026-03-22,504,4T,4,AF1QipOzngLvJk7N95WTagqpCjBgVEzlNg8m-9lCtSbZ,https://lh3.googleusercontent.com/pw/AP1GczOKovia-hg3SVlv4Ax80xkkoqSXFLOpypLstJNebwetFMpP54oE8NRuki4-YzjOS1S3E7C9QKqFI3ZqKNUQ2VWAb8I27Ff1FswpY6kg-odVThvE4vFT,local/non_tomato_species/images/504_AF1QipOzngLvJk7N95WTagqpCjBgVEzlNg8m-9lCtSbZ.jpg,0,"1,2,3,4,5,7,12",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_504_AF1QipOz_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_504_AF1QipOz_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_504_AF1QipOz_label.jpg,needs_manual,29T,0.38168,0.32988,0.05180,"29T,10T,1T","{""1"": 1, ""2"": 1, ""3"": 3, ""4"": 4, ""5"": 1, ""7"": 2, ""12"": 2}"
2026-03-22,505,3T,3,AF1QipNGH2Jc94a3_F6FKg7cG3mjwIKK_qPcO1e0L6as,https://lh3.googleusercontent.com/pw/AP1GczPe3Ln8TxgcmN5t7AjCIC53JF5Xrc9lT7IP_u2NTmBE82WQYw3RizaS2HWzZGNwwEQGA_A4-_cOxGZcTlYBjMzLMsEIQ9IC4CeG8_FunLgqxLAVGK8h,local/non_tomato_species/images/505_AF1QipNGH2Jc94a3_F6FKg7cG3mjwIKK_qPcO1e0L6as.jpg,0,"1,2,3,4,6,7,27,32",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_505_AF1QipNG_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_505_AF1QipNG_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_505_AF1QipNG_label.jpg,needs_manual,20T,0.22812,0.19351,0.03461,"20T,27T,23T","{""1"": 1, ""2"": 2, ""3"": 4, ""4"": 1, ""6"": 1, ""7"": 2, ""27"": 1, ""32"": 2}"
2026-03-22,506,4T,4,AF1QipNmZwTcaUiu8A3Ltc6xPIxJ61Yrbux3g8HU74me,https://lh3.googleusercontent.com/pw/AP1GczO78Wt2vDnaVf6H27St4DPJ_6t4f9FyzNalybBilLdpKxoNZ0uMmJsBg-WVpJ4xdE3DUq92gJJH4SNbxy6rlAcLSkr0NxfaLlYAiRWYZnIbpFqQK2Z8,local/non_tomato_species/images/506_AF1QipNmZwTcaUiu8A3Ltc6xPIxJ61Yrbux3g8HU74me.jpg,0,"1,2,3,4,5,7,8,9,32",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_506_AF1QipNm_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_506_AF1QipNm_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_506_AF1QipNm_label.jpg,needs_manual,23T,0.26139,0.23737,0.02402,"23T,27T,20T","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""7"": 3, ""8"": 1, ""9"": 1, ""32"": 1}"
2026-03-22,507,2T,2,AF1QipPTbnDhRmVIWQtX22rQuXgoslcYOibnbu7e312T,https://lh3.googleusercontent.com/pw/AP1GczO_LdJUYWOntrfK2WySxP61yxFt2segxga_9jdADpnL9UhvQ-fFKR0yAYW-922Zx9Aib13w6OVmWo4z39pVUgDkRlx7EoVTQY0f1azRRs89ltTUItjX,local/non_tomato_species/images/507_AF1QipPTbnDhRmVIWQtX22rQuXgoslcYOibnbu7e312T.jpg,0,"2,3,4,5,6,7,29",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_507_AF1QipPT_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_507_AF1QipPT_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_507_AF1QipPT_label.jpg,needs_manual,20T,0.21169,0.15394,0.05775,"20T,4T,27T","{""2"": 4, ""3"": 3, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 1, ""29"": 1}"
2026-03-22,508,3T,3,AF1QipO-zes8ejFbH_HJZQTJJblmsLtzDaSgCK0MFIin,https://lh3.googleusercontent.com/pw/AP1GczO2PE1mN51zs5ebae4lhM6q-lwrBWFOrJHgRi5SVEEjGMmvcBfjMbKNwRGW1bGwAbS-1axEi6OHF-8IRUQrlwGFbDEtVfvuObkrf5ZICl6oketPfmXH,local/non_tomato_species/images/508_AF1QipO-zes8ejFbH_HJZQTJJblmsLtzDaSgCK0MFIin.jpg,0,"2,3,4,5,7,8,9,17",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_508_AF1QipO-_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_508_AF1QipO-_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_508_AF1QipO-_label.jpg,needs_manual,4T,0.15291,0.13668,0.01623,"4T,9T,23T","{""2"": 2, ""3"": 3, ""4"": 2, ""5"": 1, ""7"": 3, ""8"": 1, ""9"": 1, ""17"": 1}"
2026-03-22,509,3T,3,AF1QipOlrzFybaXX5bR1uecWz6GSecKlEmKYGkGoC5cR,https://lh3.googleusercontent.com/pw/AP1GczPy0JJLqpF6x_97JTLcPQ9J0gSNM8-mUuL9ghv1gfsJ6IQ3XPeqC9Jt4jJv7DiwsT75ITr911kbRbON7Xz6ofvQKRb6gwGfURpH1XoEFBW6zi80IimX,local/non_tomato_species/images/509_AF1QipOlrzFybaXX5bR1uecWz6GSecKlEmKYGkGoC5cR.jpg,0,"1,2,3,4,5,8,9,28",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_509_AF1QipOl_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_509_AF1QipOl_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_509_AF1QipOl_label.jpg,needs_manual,29T,0.33000,0.24763,0.08237,"29T,4T,10T","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 2, ""5"": 2, ""8"": 1, ""9"": 1, ""28"": 1}"
2026-03-22,510,2T,2,AF1QipN0laVdvA8lE5rNNOqDrZe2npWR5aLHrHo4gxq9,https://lh3.googleusercontent.com/pw/AP1GczP1KohwNoVdTAviZz7U1cFdMRlVejma4JpCdvcvLnxNkMQF_CDb5qjYtIm9eHbGrUkmmoOlobNhEfO3Oo7M6Uxanui3Q2cbmRr8w7FNeye8LbvCJTV6,local/non_tomato_species/images/510_AF1QipN0laVdvA8lE5rNNOqDrZe2npWR5aLHrHo4gxq9.jpg,0,"2,4,5,6,7,8,9,10,17,23,25",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_510_AF1QipN0_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_510_AF1QipN0_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_510_AF1QipN0_label.jpg,needs_manual,29T,0.26111,0.22234,0.03877,"29T,10T,30T","{""2"": 2, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1, ""10"": 1, ""17"": 1, ""23"": 1, ""25"": 1}"
2026-03-22,511,2T,2,AF1QipP9gi4dHZn6hp9rHMLmtZEX4zfzUzgQfeIKLydr,https://lh3.googleusercontent.com/pw/AP1GczO6sZD9oIeRYFi4FBSm6RZQIQKscsQ5I75PvRyAGqs9RSKyzXlKAgOoYe874yxlDDhtBCOU8MTmgFgV7zSLnXKK-GUUkln9L1VaTF4wjEGaOJNIiEpm,local/non_tomato_species/images/511_AF1QipP9gi4dHZn6hp9rHMLmtZEX4zfzUzgQfeIKLydr.jpg,0,"2,4,5,6,8,9,20,24,28",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_511_AF1QipP9_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_511_AF1QipP9_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_511_AF1QipP9_label.jpg,needs_manual,29T,0.30850,0.23778,0.07072,"29T,1T,4T","{""2"": 3, ""4"": 3, ""5"": 2, ""6"": 1, ""8"": 1, ""9"": 1, ""20"": 1, ""24"": 1, ""28"": 2}"
2026-03-22,512,4T,4,AF1QipOi0VhAqyErGeAr9UNKqI6G7ORpK9vbBsuHFzMP,https://lh3.googleusercontent.com/pw/AP1GczOiCbdRK-Onw1Ciitd8xN5GL_kM0ZPy1qy9N5k7ktW9MjoDaiQ0wUlfKUELVWOphVsHp2iZftGuJOCfcFCkhVTnRUQuZq10ekhEiLNRzReJENCgZq1e,local/non_tomato_species/images/512_AF1QipOi0VhAqyErGeAr9UNKqI6G7ORpK9vbBsuHFzMP.jpg,0,"1,2,3,4,5,7,15,24,25",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_512_AF1QipOi_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_512_AF1QipOi_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_512_AF1QipOi_label.jpg,needs_manual,29T,0.18935,0.15860,0.03075,"29T,4T,8T","{""1"": 1, ""2"": 3, ""3"": 3, ""4"": 4, ""5"": 3, ""7"": 1, ""15"": 1, ""24"": 1, ""25"": 1}"
2026-03-22,513,3T,3,AF1QipPSzyJsSYm2bmNqcd8PXB-dNNaNBr0bQu-ITr0g,https://lh3.googleusercontent.com/pw/AP1GczPlHEoppTSxxDXfqBT9VOaGgMwl3EGkE0NXHMRtZsGd4ttJM_NYgOBCFMm-KAVLgOKpigMU4ZKmvFdp9qjoE2Kq4zP9eAJ5y18b_uiJmpQ97ZWcELp-,local/non_tomato_species/images/513_AF1QipPSzyJsSYm2bmNqcd8PXB-dNNaNBr0bQu-ITr0g.jpg,0,"2,3,4,5,6,7,26",human_label_pot_number_and_variety,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_513_AF1QipPS_full.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_513_AF1QipPS_center.jpg,data/research/v1_6/phase_end_2026-03-22/manual_label_queue/2026-03-22_513_AF1QipPS_label.jpg,needs_manual,29T,0.19815,0.16637,0.03178,"29T,4T,1T","{""2"": 2, ""3"": 4, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 1, ""26"": 1}"
