row_index,source_asset_id,classification_label,species_common_name,variety_name,species_scientific_name,confidence,labeling_method,notes_append
124,AF1QipNjWhvFiXuamI-Gn3JUm4weAHd5isNUnf_R2uaa,non_tomato,Lettuce,Lettuce,Lactuca sativa,0.911,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.563567 non_tomato_sim=0.743999 margin=0.180432
127,AF1QipPqC5rhFW6jReI6tc68phfbliLsFhCt1qwJgnxb,non_tomato,Spinach,Spinach,Spinacia oleracea,0.795,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.614546 non_tomato_sim=0.736874 margin=0.122328
126,AF1QipNTvvxA1XfQsOD79v2X3F8oWeX4T-IYh1PamYaC,non_tomato,Spinach,Spinach,Spinacia oleracea,0.744,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.636693 non_tomato_sim=0.733627 margin=0.096934
128,AF1QipN36GoQRLn9h2NfDp9xKGVjPF3AihAb8BarYXRz,non_tomato,Pea,Pea,Pisum sativum,0.666,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.577447 non_tomato_sim=0.635552 margin=0.058105
164,AF1QipNUc4_iCorNgjiV4vTpydZtCLn86tsrJh3HH7_3,non_tomato,Spinach,Spinach,Spinacia oleracea,0.797,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.716531 non_tomato_sim=0.839822 margin=0.12329
158,AF1QipNT5F_KtSrnPQXAxVW2nOehKD1G7dlVasCSUGGG,non_tomato,Spinach,Spinach,Spinacia oleracea,0.793,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.674407 non_tomato_sim=0.795982 margin=0.121575
172,AF1QipOye3QE9u2xMY45v1Gzn_hgNKXum941NaI3G1DB,non_tomato,Spinach,Spinach,Spinacia oleracea,0.779,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.694091 non_tomato_sim=0.808475 margin=0.114385
145,AF1QipN9wSnjis9IycZs8KqGU-xzcEuZB8BqypxxTGMZ,non_tomato,Spinach,Spinach,Spinacia oleracea,0.763,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.613699 non_tomato_sim=0.720208 margin=0.10651
177,AF1QipMQDvxdK7IP8ClbqPAhR8VyPY-sJ7y3hHu4Pr-4,non_tomato,Spinach,Spinach,Spinacia oleracea,0.749,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.610242 non_tomato_sim=0.709547 margin=0.099306
159,AF1QipPQJvrHZ72Aa3eKsRkZ_qI2_zIr2oo-8ZDUlD7l,non_tomato,Spinach,Spinach,Spinacia oleracea,0.738,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.541434 non_tomato_sim=0.635475 margin=0.094041
182,AF1QipOkb-F1GDSiZaS-cefbOXH_FS8izZJHWY8qU8a9,non_tomato,Turnip,Turnip,Brassica rapa subsp. rapa,0.735,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.69549 non_tomato_sim=0.787992 margin=0.092503
176,AF1QipPkXKpfW8C-Df9ZD2jf69tKllu0mrkqm8nfX8Wo,non_tomato,Spinach,Spinach,Spinacia oleracea,0.731,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.717011 non_tomato_sim=0.807273 margin=0.090262
133,AF1QipNrnV7_ou-gBKSqPBeZCNlWCjSWQoO3EAiDaktn,non_tomato,Turnip,Turnip,Brassica rapa subsp. rapa,0.729,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.582637 non_tomato_sim=0.672078 margin=0.089441
167,AF1QipO5q3GdpwwVY8wmrCAL8ues_H4adxKg65XR_mtS,tomato,Tomato,,Solanum lycopersicum,0.71,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.704143 non_tomato_sim=0.624221 margin=0.079922
191,AF1QipMidJYX9xyasGhCNIucTRhkygzjVjjeb93ucc35,non_tomato,Pea,Pea,Pisum sativum,0.709,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.609124 non_tomato_sim=0.688792 margin=0.079668
180,AF1QipN8ZYwEXwvzLkjDKNm9DxEqT5yaJRQ4gh72CG6S,tomato,Tomato,,Solanum lycopersicum,0.709,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.682095 non_tomato_sim=0.602617 margin=0.079478
135,AF1QipMmcbkEvj6cQE_kCXNmfLRA0sdlDIgZoKhBX8ci,non_tomato,Spinach,Spinach,Spinacia oleracea,0.7,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.637516 non_tomato_sim=0.712311 margin=0.074794
157,AF1QipOJh9HPnO_BUmCjgpFMnN3beATa0yj_nCQg6kvz,tomato,Tomato,,Solanum lycopersicum,0.698,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.522685 non_tomato_sim=0.448733 margin=0.073953
134,AF1QipM6iIoxDiNhaFkFxFQyvXeXdH-W1tfN4vOatqKu,non_tomato,Turnip,Turnip,Brassica rapa subsp. rapa,0.688,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.451331 non_tomato_sim=0.520199 margin=0.068868
150,AF1QipM7ErDnZYljEJkB-ofkNUp8AAvkCSzr5NMfyvuK,non_tomato,Spinach,Spinach,Spinacia oleracea,0.682,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.733718 non_tomato_sim=0.799479 margin=0.065761
141,AF1QipOP1BtfTSynptfuFyFtDgSWrW23PnhK6TR8ye8y,non_tomato,Spinach,Spinach,Spinacia oleracea,0.68,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.625959 non_tomato_sim=0.691171 margin=0.065213
179,AF1QipN8-oTE3TTH1pc7oJ4_3fWORg64Vna2I-GJasMG,tomato,Tomato,,Solanum lycopersicum,0.673,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.758366 non_tomato_sim=0.696766 margin=0.061601
142,AF1QipMYxaaQ1a5DnR4bMJQ9FbbNbhvl941JmtnxmnGk,tomato,Tomato,,Solanum lycopersicum,0.671,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.68848 non_tomato_sim=0.628097 margin=0.060383
160,AF1QipOl16sqejknPt29KspylLvSwCJQ_WbXEbaSvXO1,tomato,Tomato,,Solanum lycopersicum,0.67,visual_similarity_nn_v17_seed,auto-seed from v17 visual similarity; tomato_sim=0.610751 non_tomato_sim=0.550606 margin=0.060145
