row_index,capture_date,source_asset_id,photo_url,current_classification_label,predicted_classification_label,predicted_species_common_name,predicted_variety_name,predicted_species_scientific_name,tomato_similarity,non_tomato_similarity,margin,confidence_tier,recommended_action,nearest_tomato_asset_id,nearest_non_tomato_asset_id,image_path
124,2026-03-01,AF1QipNjWhvFiXuamI-Gn3JUm4weAHd5isNUnf_R2uaa,https://lh3.googleusercontent.com/pw/AP1GczPWhDvNFTYzJJ4s9ijqWIC8t1b2X4Uk6PhUvvSS91WfOlFmuaEJ88KaFWj09ioPyP0sYuoc-bDOpGvtq-9ka1na4VhBMbHYqYq6xmAhCJMFiX4IgnyY,unknown,non_tomato,Lettuce,Lettuce,Lactuca sativa,0.563567,0.743999,0.180432,high,apply_seed_override,AF1QipOKLGjadxmA3cB21dGUO7lBOdTQURwF1BvGZdiR,AF1QipPU9RHgErKWJwJJ92pF-E0klp18nr0eMqppu6yS,local/non_tomato_species/images/124_AF1QipNjWhvFiXuamI-Gn3JUm4weAHd5isNUnf_R2uaa.jpg
127,2026-03-01,AF1QipPqC5rhFW6jReI6tc68phfbliLsFhCt1qwJgnxb,https://lh3.googleusercontent.com/pw/AP1GczMnf0_fpFUZ1-7E-kjmelMR9CxBiFODGBTifBJKIRgyM4ehJMCk564h8O6g-P8q58-ozamRTa5kpB1wjMPcZz3FoEC3_pHohhjHBu8JQvasrnUthSUl,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.614546,0.736874,0.122328,high,apply_seed_override,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/127_AF1QipPqC5rhFW6jReI6tc68phfbliLsFhCt1qwJgnxb.jpg
126,2026-03-01,AF1QipNTvvxA1XfQsOD79v2X3F8oWeX4T-IYh1PamYaC,https://lh3.googleusercontent.com/pw/AP1GczMPru54RuzJPHclHTN-3kDejyIzAfyLCv45VaFxY7kJkr0y_oGZQXDaLI141hzjpObg-OO1eHyQ9E7J4l9Bq4Upts6jZOZ7cORS_eAdBaAsYFrO-Ura,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.636693,0.733627,0.096934,high,apply_seed_override,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/126_AF1QipNTvvxA1XfQsOD79v2X3F8oWeX4T-IYh1PamYaC.jpg
128,2026-03-01,AF1QipN36GoQRLn9h2NfDp9xKGVjPF3AihAb8BarYXRz,https://lh3.googleusercontent.com/pw/AP1GczOHsu-5QSeKpV4akk3CoMvc7vyb7LcGO74TNcKoK9S5Nf7JtdJ0dW9kEhrfzPmJ0iZhppS5jr4NfGyWMF8y70rkLshB57WmtVGZzduUZxtMNbTbEV-9,unknown,non_tomato,Pea,Pea,Pisum sativum,0.577447,0.635552,0.058105,medium,apply_seed_override,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipOtfgGC6kw6p74wMcF5b0RrV_9q3JEA88Toh1lv,local/non_tomato_species/images/128_AF1QipN36GoQRLn9h2NfDp9xKGVjPF3AihAb8BarYXRz.jpg
129,2026-03-01,AF1QipPWnl7YKuhQTHqe35yGZzGrFTIUrglCwWuKJoDZ,https://lh3.googleusercontent.com/pw/AP1GczNjm_M1BYrivEf5EEEl-WxcCVGdO0rteGwIkb-o1vGyIHobboiJmYgjLn4qpYHeKnTIAm2gZ8iJEMaKieD6ZsKqlTEr1NKHgBy0PanRojkBLkDrErzw,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.18097,0.201452,0.020482,low,manual_review,AF1QipOKLGjadxmA3cB21dGUO7lBOdTQURwF1BvGZdiR,AF1QipND0gAwfUQ1xbVpfJqHJ7hJJjb6fhFYSQdo4CWe,local/non_tomato_species/images/129_AF1QipPWnl7YKuhQTHqe35yGZzGrFTIUrglCwWuKJoDZ.jpg
125,2026-03-01,AF1QipPzRiMWx6sBp_4IlG2QKFNb6fp6-PxEw8oN86tP,https://lh3.googleusercontent.com/pw/AP1GczMO3Wep72wnABoGkogcAJ8RnZQM5F_ZmvQXb2qU0FiOKcRCIUYBQ83v0scdnyB70TThbKCd4NZ3E_EdvARJDvVfsrA-PORX8Nm5sNO1qDUsRmKJt17-,unknown,non_tomato,Lettuce,Lettuce,Lactuca sativa,0.496277,0.502491,0.006214,low,manual_review,AF1QipOLVxSyli52QM5HMEqdgY_3saaI5bYdnoJgIolG,AF1QipPU9RHgErKWJwJJ92pF-E0klp18nr0eMqppu6yS,local/non_tomato_species/images/125_AF1QipPzRiMWx6sBp_4IlG2QKFNb6fp6-PxEw8oN86tP.jpg
164,2026-03-02,AF1QipNUc4_iCorNgjiV4vTpydZtCLn86tsrJh3HH7_3,https://lh3.googleusercontent.com/pw/AP1GczOlAmnnBKWcPwHoSvXbhnBUk0TAjdhf5JusrksgbrdFNDTzA_3yS9PVY2Z3XU2oa4Rd7QOztLzlrDCMmltweke1H8ENnxspMbAjtYKsOebf2xsLLlLE,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.716531,0.839822,0.12329,high,apply_seed_override,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/164_AF1QipNUc4_iCorNgjiV4vTpydZtCLn86tsrJh3HH7_3.jpg
158,2026-03-02,AF1QipNT5F_KtSrnPQXAxVW2nOehKD1G7dlVasCSUGGG,https://lh3.googleusercontent.com/pw/AP1GczO6dVCG_2FFkd85skxCn4toB-mkk6tQao1OijIQRT7GXPBAKSNn9jrv-BvDaWQKqTJL5I_Yb2stHlYS9olDYPewp8acxFowKSHOEEi7VAvxybXAZS1l,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.674407,0.795982,0.121575,high,apply_seed_override,AF1QipNgy53gtDiRsdSvAMrdHdBvBkbmKmaU1vFW5Zwz,AF1QipP3uLTxp7JBdSEI1arLdrVpzmVWxPsfUREzogQc,local/non_tomato_species/images/158_AF1QipNT5F_KtSrnPQXAxVW2nOehKD1G7dlVasCSUGGG.jpg
172,2026-03-02,AF1QipOye3QE9u2xMY45v1Gzn_hgNKXum941NaI3G1DB,https://lh3.googleusercontent.com/pw/AP1GczOF7FuWdz-t2lVDr6VEqcHZWkmcv54TMFW2SO0EtOa4v_uJGd9WDr2_2rqtZXROCRvjn3PjA2OJyKcWzaqhl-KNlVcE01pmTfr3MK61f2DR0Axk_CpJ,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.694091,0.808475,0.114385,high,apply_seed_override,AF1QipNgy53gtDiRsdSvAMrdHdBvBkbmKmaU1vFW5Zwz,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/172_AF1QipOye3QE9u2xMY45v1Gzn_hgNKXum941NaI3G1DB.jpg
145,2026-03-02,AF1QipN9wSnjis9IycZs8KqGU-xzcEuZB8BqypxxTGMZ,https://lh3.googleusercontent.com/pw/AP1GczNMx1YLWE-I6c4--f_UnlPJvqFITC7SguIC1wA9AJSVOgb42Sg1qjlYHzMPb2VCAnG-s6cKHEmM8hXoN4sZ4be5i6L1HnMI10Tbu8ES5AlEJEhWPMPK,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.613699,0.720208,0.10651,high,apply_seed_override,AF1QipNjCXO2DCyYSPo8z8XBD0Ec50YkcouPnONL4iMi,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/145_AF1QipN9wSnjis9IycZs8KqGU-xzcEuZB8BqypxxTGMZ.jpg
