row_index,capture_date,source_asset_id,photo_url,predicted_classification_label,predicted_variety_name,tomato_similarity,non_tomato_similarity,margin,confidence_tier
129,2026-03-01,AF1QipPWnl7YKuhQTHqe35yGZzGrFTIUrglCwWuKJoDZ,https://lh3.googleusercontent.com/pw/AP1GczNjm_M1BYrivEf5EEEl-WxcCVGdO0rteGwIkb-o1vGyIHobboiJmYgjLn4qpYHeKnTIAm2gZ8iJEMaKieD6ZsKqlTEr1NKHgBy0PanRojkBLkDrErzw,non_tomato,Spinach,0.18097,0.201452,0.020482,low
125,2026-03-01,AF1QipPzRiMWx6sBp_4IlG2QKFNb6fp6-PxEw8oN86tP,https://lh3.googleusercontent.com/pw/AP1GczMO3Wep72wnABoGkogcAJ8RnZQM5F_ZmvQXb2qU0FiOKcRCIUYBQ83v0scdnyB70TThbKCd4NZ3E_EdvARJDvVfsrA-PORX8Nm5sNO1qDUsRmKJt17-,non_tomato,Lettuce,0.496277,0.502491,0.006214,low
139,2026-03-02,AF1QipNRYxuxd_NyOFVwePbSqU8Pb1r1T30l5tOLU8Z8,https://lh3.googleusercontent.com/pw/AP1GczNVAmoE7GXTTGy23JEVNKWnT1b3DEmNK97OGOl7KjqdCxw5gOYd4j7Jz9NXmEBJoa_4uW2t4WgAagFVQZwaR2oa-SVXPMJOJaQnwKuUNU31Q1JQDAKG,tomato,,0.718421,0.668835,0.049586,low
186,2026-03-02,AF1QipMhUtP9eRJkU1Of1coR9_Syf4mw-lKx7B9HvKWv,https://lh3.googleusercontent.com/pw/AP1GczNCBJmSL4YUOp0f01m_wA5HTy2lj_hM3GBUeGhBG3fBuXrWQ-dD0jVShII9B3-smqKbH-IPgo7EyNIsGJPpgrgDgpwDRZh1-KTFqy-U2on2AmjsYErg,non_tomato,Spinach,0.713355,0.762,0.048644,low
184,2026-03-02,AF1QipMvXMmraMru_j5CnrJd6gqT-AW_aGUK7_yPG4LM,https://lh3.googleusercontent.com/pw/AP1GczM1Yi8vX11V-9tJQeAgZlMOnjDdWSHCqeGEyqrg6Dm3uq5b9yzBh4CT6la262ShQ7s3MWK1DI3iNrNiZjbL1ewEElw1UEoNgsYKknz757VyUNLbq2js,non_tomato,Turnip,0.440287,0.485754,0.045467,low
187,2026-03-02,AF1QipPwKYyU88Dp85N2NDeVtt4AZrHOSEs1N2HATNY3,https://lh3.googleusercontent.com/pw/AP1GczPQK0Lb5YdyieF3iYpMWy41Ho6AZEjUcwSo8zBacYDVuUn5vzBkwj4wHl_srDciVPufwJiAEGe4hf0srD3EPQ5B1KLaIONEs-C_o7_vkam_iCsOGO_6,tomato,,0.729268,0.68464,0.044628,low
153,2026-03-02,AF1QipOTuq30BPYRZfJ0opXVHK8nqT1jvaSCBEJ4iRkp,https://lh3.googleusercontent.com/pw/AP1GczNrq8hSgOG5HyQ6A1iTxFaqgdt8iY9m0XZHA6MDlh5J115Ris32UXHzuTKB9aKOoi4YHA4uFmFuZ1XIT1any80w3syfVMS7ujoSaCqOeC5mkw8teVQL,non_tomato,Spinach,0.624116,0.666358,0.042242,low
132,2026-03-02,AF1QipMvyYN1mzzMjVquJqrjZWyiYbU3tlnhUA6WEDUK,https://lh3.googleusercontent.com/pw/AP1GczM80SelnfzqRB2K1MG0T9zOgZn7_0VN9TKbp-R6ucR3a55-e0sk44h2UrwQFdWJ69dcyxCaiKBJxv5Uh52pahiuQs_0B6U5OptgdMF3iUUAlWZh7GUn,non_tomato,Turnip,0.566097,0.60745,0.041354,low
185,2026-03-02,AF1QipPc9T2qyGq07ITY9OjbRclKFUHdj2qELmCBzqEx,https://lh3.googleusercontent.com/pw/AP1GczOidSl5ZaP8yGhe0LDfK4U-AAvk_2PhEw4D9BaiJY2uJnkc57DqGBFGf2_2CmXygqqwchLBk_LhD3dhVCCm9QJ7BaeCWy-bUnn5FY7qoCVoC8JlpU1I,non_tomato,Turnip,0.617216,0.654827,0.03761,low
137,2026-03-02,AF1QipNy6IAJ7g9snpcjVQBGuiZZFlZdom9VlZQ28rJM,https://lh3.googleusercontent.com/pw/AP1GczP51JGt-aWTM6F_8iwfCt3QQ_ndwGOrI_KUPptLMepuAx2WJXW5kO_6a30kkjotflSCdwKjObqts_pdASC8QLi6W6ymLkELKduV9tRL1c43N93JrR0p,tomato,,0.585842,0.548744,0.037098,low
162,2026-03-02,AF1QipOHuLfshOOdh8Xo38ggTDl_afVmKInYKsXrnFxH,https://lh3.googleusercontent.com/pw/AP1GczNmq0rpCORh7x5XOQM4X41JPmtdvHCLJcfBLpktCfBL-8ElFsB-BB0V9iEwZ7uN0D40t6ucipihj20F9amk3jqYLUwFveOpyriO55TDgTJ45VfwxxNA,tomato,,0.484127,0.449363,0.034764,low
170,2026-03-02,AF1QipMe7FO1SjBH7GTrbV7jtxVy5T8knbjM5F4TVIJX,https://lh3.googleusercontent.com/pw/AP1GczPpynyaAyxjXsDatepfhdneM7wJZY0hZxxAgO9afdA3mgfs44tWMoDxjmxaYfRFq8xEPIhUI_Fu_ZOuAWIesTBQUjTwQLEEDTE83-N1dHaC0mZX1dWU,non_tomato,Spinach,0.554209,0.585626,0.031417,low
