run_date,row_index,source_asset_id,pot_id,pot_number,matched_variant_count,ensemble_numbers_detected,numbers_detected_count,signal_tier,signal_reason
2026-02-28,59,AF1QipPdG_T6UaPwBUD1RGWtW2icgq6HQUXJSBMzrBw0,1T,1,0,"2,3,4,5,7",5,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,60,AF1QipPanucT93rePbK9xX_BQVLGL0wKqkUC2oQVjCNj,2T,2,0,"1,3,4,5,7",5,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,63,AF1QipPubP7Cfb9shgNI4FKnCnkt3v85xCt7AsTwt7S6,5T,5,0,"1,2,3,4,7,27",6,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,64,AF1QipO0FF9Lbn43TXTt13Dwd5iLZtqrkOBABwpAla08,6T,6,0,"2,5,7",3,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,66,AF1QipNa_4m2EBDAlOxdIjS7hFZ5qQC7FzMHuKmo7-xM,8T,8,0,"2,3,4,5,6,7,12,17,24",9,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,68,AF1QipNsdwNtWA9hWh1GFXTU70rlrG8HIzAVQFyZCBcI,10T,10,0,"1,2,4,5,22",5,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,69,AF1QipOtfgGC6kw6p74wMcF5b0RrV_9q3JEA88Toh1lv,11T,11,0,"1,2,3,4,5,7,8,9,22,23",10,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,70,AF1QipPlHHnlOJHRX4jyTuWRQGkWn2l8Ns9kgnIGF95-,12T,12,0,"2,3,4,5,6,7,8",7,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,71,AF1QipPq_BwQYcGRESnVbEXHxyGnNJyt8Hli_XP_F9Ww,13T,13,0,"1,2,4,7,9,25,27",7,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,72,AF1QipMuK-0SFRt7JtKjjIAyaaPCEmFimg0WCyLXDJ5i,14T,14,0,"2,4,7,24,26",5,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,73,AF1QipPANAWdUHUA6Rb2gGxOnLzUlzrK2MW9Jxb-gwWa,15T,15,0,"1,2,4,5,7,8",6,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,74,AF1QipP2RYAT4X4c-NDudcJktwxOEUxql5rQeL15BA2d,16T,16,0,"2,4,7,20,32",5,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,75,AF1QipPt-NKTgu4l7exf9nLGOkV_cyNzDV83exVU6qIp,17T,17,0,3,1,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,76,AF1QipM3K_2eWKR3kFYVV0WlwN2N_K4-6RcdKO14KMcg,18T,18,0,"2,7,8",3,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,77,AF1QipNMQsEruJledTyWMij7GISvUPBwhasq7B0JWtMm,19T,19,0,"2,4,5,7,9,16",6,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,78,AF1QipMHqWeE93q9Ovs7OXkLreQyw8t1TVWR_HfNzrv1,20T,20,0,"1,2,4,5,7,27",6,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,79,AF1QipNG6W0i17Q-VM-w6wkrd8SPa1f4hLgktZhrqvPZ,21T,21,0,"1,2,4,5,7",5,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
