run_date,row_index,source_asset_id,photo_url,predicted_pot_id,predicted_pot_number,ocr_match_variants,ocr_numbers_detected,label_crop_path,center_crop_path,full_crop_path,true_pot_id,true_variety_name,truth_source,truth_note,reviewer,reviewed_at
2026-02-28,59,AF1QipPdG_T6UaPwBUD1RGWtW2icgq6HQUXJSBMzrBw0,https://lh3.googleusercontent.com/pw/AP1GczNJQ-lqly7-xBJ-l34F-wgErqItgEtx7-7CaLyjI7FkCJU-NXgSR86F9c8HgKc3vDVpkymmkNt4D87lIXHp_Hpx85mztsw8x2UK0QdMuuyvnNpnjmxI,1T,1,0,"2,3,4,5,7",data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_1T_59_AF1QipPd_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_1T_59_AF1QipPd_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_1T_59_AF1QipPd_full.jpg,,,,,,
2026-03-01,94,AF1QipONKQXPCi8_IMuBZYIiNLRXP-o8Gm7HXKwK_kb8,https://lh3.googleusercontent.com/pw/AP1GczOjxb3VTYDP4apb8qaPNHif6bNia1CApVumcC_nFSwI4AaiF7m6Nn2NsEZ4EJsWwYQV2NoueJNTZx6mB9XhxPo4wnX1Rf8Ijm2xelUZOcrUWqmVwiBi,3T,3,0,"1,2,4,5,7,13",data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_3T_94_AF1QipON_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_3T_94_AF1QipON_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_3T_94_AF1QipON_full.jpg,,,,,,
2026-02-28,60,AF1QipPanucT93rePbK9xX_BQVLGL0wKqkUC2oQVjCNj,https://lh3.googleusercontent.com/pw/AP1GczNxLKVf8Mn_Q_8H3wON3bIAD1FR5BppmWTUUo-KY6ayeqvUNED5Fs6uKVIkOC8-ilnilHUGkj37VCm-b1u6Tgan_zIiaSElNmxu5UHTjumExEpnIpPc,2T,2,0,"1,3,4,5,7",data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_2T_60_AF1QipPa_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_2T_60_AF1QipPa_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_2T_60_AF1QipPa_full.jpg,,,,,,
2026-03-01,96,AF1QipN5UGDUBJE_TdMqBxwaVvmSpxhobGE5Jpp5IE9M,https://lh3.googleusercontent.com/pw/AP1GczN-QrU86g_vGhvYt_AcK9ymDlO731h82WXc9_EquF9I5Ni-5s5olT88XoQSyHZb7QqMuveSPB5KloXjsZmwrxWREwSulLqA0nCOg1GI-s9KxqpRpfVY,5T,5,0,"4,7,24,25",data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_5T_96_AF1QipN5_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_5T_96_AF1QipN5_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_5T_96_AF1QipN5_full.jpg,,,,,,
2026-02-28,63,AF1QipPubP7Cfb9shgNI4FKnCnkt3v85xCt7AsTwt7S6,https://lh3.googleusercontent.com/pw/AP1GczMrotArG2N2Zxz7La5MVYV5pjHMDgQr7yCU229yKNevYqyjTNUXHQ0lXtrGIssYmB_Lp-_H7LWmpl_87Z4K2WB80jYWQXa5Nz4NN2YwSKSbXDNNsdTz,5T,5,0,"1,2,3,4,7,27",data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_5T_63_AF1QipPu_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_5T_63_AF1QipPu_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_5T_63_AF1QipPu_full.jpg,,,,,,
2026-03-01,97,AF1QipMF9sn-jl1cee6mjqNHlog2czXKVlISGoQ3Ubpd,https://lh3.googleusercontent.com/pw/AP1GczNZ4eLtsGM2w1T9vYzfNGbpl-dx3_LrqYbWbx4qEr3LnIvavgNs_xSNMkrk8jIC8Wri_Fl6JrrJ7zeVxOp2LXuU5wPYzmsPPbO0EHR9zv2Y69zerHVT,6T,6,0,"4,7,20,32",data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_6T_97_AF1QipMF_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_6T_97_AF1QipMF_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_6T_97_AF1QipMF_full.jpg,,,,,,
2026-02-28,64,AF1QipO0FF9Lbn43TXTt13Dwd5iLZtqrkOBABwpAla08,https://lh3.googleusercontent.com/pw/AP1GczM6bc1F-B2201LBBcQ1R5xYlONlTPuwvHw-1b853scHZaFhcpUTjbEnv20T4TH7cLE-fne0q8v3rKhrKlvxdDCclsmyWwEqhim6od-OCBqfTRCJ0GzG,6T,6,0,"2,5,7",data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_6T_64_AF1QipO0_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_6T_64_AF1QipO0_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_6T_64_AF1QipO0_full.jpg,,,,,,
2026-03-01,99,AF1QipPhpVFmWxOEuSQR2TvDy31tpDiVeCfEW7xvZ-XF,https://lh3.googleusercontent.com/pw/AP1GczOBrjXaAkGQnGWS6uMfbvXd4giAtnWN_Ro7dtvLxrkvkEksaaGZkb918F4tHiTMI5e9yfFp1wNJQEN7q_mXqZg15IPW8uRTg6kc603xtoGvugaFhzsC,8T,8,0,"2,3,4,5,6",data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_8T_99_AF1QipPh_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_8T_99_AF1QipPh_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_8T_99_AF1QipPh_full.jpg,,,,,,
2026-02-28,66,AF1QipNa_4m2EBDAlOxdIjS7hFZ5qQC7FzMHuKmo7-xM,https://lh3.googleusercontent.com/pw/AP1GczNZ14SytXrEOxI8P9lyQ3iPkimLtQ5de-L2-bbt5f_XzQ4qIvW7DF-UyByeHuN3biTzW5wSf2IV1fCPhIAxWdFOuSi-vbZRQT3US7cUh4QHK7bH2EYn,8T,8,0,"2,3,4,5,6,7,12,17,24",data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_8T_66_AF1QipNa_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_8T_66_AF1QipNa_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_8T_66_AF1QipNa_full.jpg,,,,,,
2026-03-01,100,AF1QipPldk2El80lEMg_Qr66OZPGZxAbsZxvishUE3-J,https://lh3.googleusercontent.com/pw/AP1GczNPI3I1AA_SyjXAZKaC5Gc7l6R1X6I7dWe2Nb_jagtqIsEM4LVpD7FOpO2w7AXF-Lnvr7Ku8Y0jgMDggLTudDKmOYTX8LLxoowl174lW6FQ0zBHRGud,9T,9,0,"1,2,3,7,8,20,34",data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_9T_100_AF1QipPl_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_9T_100_AF1QipPl_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_9T_100_AF1QipPl_full.jpg,,,,,,
2026-02-28,68,AF1QipNsdwNtWA9hWh1GFXTU70rlrG8HIzAVQFyZCBcI,https://lh3.googleusercontent.com/pw/AP1GczPY6dYaq7iG8qEsiYj0QuRpZ95SEZAh-oNvTrakKnIrKR4NEkierYP97--0SbVuTqVkv5TTijWNAKybI9jtrGRxb787vYf4KR6njWBLAOZXhXIQvZRq,10T,10,0,"1,2,4,5,22",data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_10T_68_AF1QipNs_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_10T_68_AF1QipNs_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_10T_68_AF1QipNs_full.jpg,,,,,,
2026-03-01,101,AF1QipNFZYgGKp96GQBJvPiceJkI9oGSrC_wGANBW2k0,https://lh3.googleusercontent.com/pw/AP1GczP1aW7ciaDrZkYbr05nJWyxpeWoVgUiUtvKZmP2J9oMJroiHl-XIyYsk8eNRBtmdQAozyEn2JM_u4zvDcmfm-4muOOYgKc8oD65mDyuVKKhDPoBc2H5,10T,10,0,"2,3,4,5,6,8",data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_10T_101_AF1QipNF_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_10T_101_AF1QipNF_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_10T_101_AF1QipNF_full.jpg,,,,,,
2026-02-28,69,AF1QipOtfgGC6kw6p74wMcF5b0RrV_9q3JEA88Toh1lv,https://lh3.googleusercontent.com/pw/AP1GczNlnosxWkahCkTkX5UMOKhwZ-FF70dYy-uhfpI3wKxWSe2UTQbuOLNRy3K5MKt7GwMqBmE2E-Cvm8A7jhoqO1qtqKKCrLDxmIoAhUkZ9Q0yFQGnnyVT,11T,11,0,"1,2,3,4,5,7,8,9,22,23",data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_11T_69_AF1QipOt_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_11T_69_AF1QipOt_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_11T_69_AF1QipOt_full.jpg,,,,,,
2026-03-01,102,AF1QipO7W2pN3c33A9wClBCqibHYq2XJWWvddu6-RpW0,https://lh3.googleusercontent.com/pw/AP1GczNWGhSLfWr4kLKoFElt-qFCoog2W4z6lOFjw_XDucTUmHl657vh0Fd9j-5a8Ij6KKIgmoSkkLNphu01JL6lZU1DsuqubdKc7lAHB2YwutrfsZn7xAtD,11T,11,0,"3,4,7",data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_11T_102_AF1QipO7_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_11T_102_AF1QipO7_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_11T_102_AF1QipO7_full.jpg,,,,,,
2026-02-28,70,AF1QipPlHHnlOJHRX4jyTuWRQGkWn2l8Ns9kgnIGF95-,https://lh3.googleusercontent.com/pw/AP1GczOCcR6enIjWMHLmX1kWphFXg2eFrM_dcMfIu5Ydpy0Qmg5ynSfW9P_1D88_wTC_1AH8Ht9pHjGx_gWmMYF-vkJvX4Wi6JDrH0bPNw_ZIQmrJvzsDYSO,12T,12,0,"2,3,4,5,6,7,8",data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_12T_70_AF1QipPl_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_12T_70_AF1QipPl_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_12T_70_AF1QipPl_full.jpg,,,,,,
2026-03-01,103,AF1QipMEigYtOwhL_C95lD_lFzuoM0HMCr9nCD0IRESF,https://lh3.googleusercontent.com/pw/AP1GczPi9RaIhqwIc5cqAkTHRMF_TzpVWCHcI6BkAeQ3k1y0Xga_sUoWVZglHI8gnBKo2n8y4K1Txngp5uTyh9q50RQeV86Oa-wHt3gJTQCOi8C9CsE8dVKX,12T,12,0,"2,4,7",data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_12T_103_AF1QipME_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_12T_103_AF1QipME_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_12T_103_AF1QipME_full.jpg,,,,,,
