row_index,source_asset_id,image_path,capture_date,classification_label,variety_name,caption_true_pot_id,dhash_hex
1,AF1QipPU9RHgErKWJwJJ92pF-E0klp18nr0eMqppu6yS,local/non_tomato_species/images/01_AF1QipPU9RHgErKWJwJJ92pF-E0klp18nr0eMqppu6yS.jpg,2026-02-25,non_tomato,,1T,5a7a799dddddedf9
2,AF1QipP3uLTxp7JBdSEI1arLdrVpzmVWxPsfUREzogQc,local/non_tomato_species/images/02_AF1QipP3uLTxp7JBdSEI1arLdrVpzmVWxPsfUREzogQc.jpg,2026-02-25,non_tomato,,2T,37369d4565a5b56d
3,AF1QipMhYY3ADKACHG7cdnyQKr5EB6ubpjjpWykvU06O,local/non_tomato_species/images/03_AF1QipMhYY3ADKACHG7cdnyQKr5EB6ubpjjpWykvU06O.jpg,2026-02-25,non_tomato,,3T,1e9e8d69ac6c5c54
4,AF1QipND0gAwfUQ1xbVpfJqHJ7hJJjb6fhFYSQdo4CWe,local/non_tomato_species/images/04_AF1QipND0gAwfUQ1xbVpfJqHJ7hJJjb6fhFYSQdo4CWe.jpg,2026-02-25,non_tomato,,4T,ef95b1d155514228
5,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/05_AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI.jpg,2026-02-25,non_tomato,,5T,3d3aab232384b5a1
6,AF1QipPy0PJSqnwpfWm_W4pspUcOt_QTWuAzcKvpBi_4,local/non_tomato_species/images/06_AF1QipPy0PJSqnwpfWm_W4pspUcOt_QTWuAzcKvpBi_4.jpg,2026-02-25,non_tomato,,6T,736d76ea48d39b78
7,AF1QipMB-jUQ93DXcLOwaHZnlF1J7IK3rz6IW8Dgpv2B,local/non_tomato_species/images/07_AF1QipMB-jUQ93DXcLOwaHZnlF1J7IK3rz6IW8Dgpv2B.jpg,2026-02-25,non_tomato,,7T,a99d195d1d3c67e2
8,AF1QipM6AUa6pLQQ6rWh54k2_an_Z5J1ijOLl5S1vVYB,local/non_tomato_species/images/08_AF1QipM6AUa6pLQQ6rWh54k2_an_Z5J1ijOLl5S1vVYB.jpg,2026-02-25,non_tomato,,8T,19199959593d2939
9,AF1QipPBKSwU3sjNcQQSkKhJlcDXrMPgsJUsYU4qxJBM,local/non_tomato_species/images/09_AF1QipPBKSwU3sjNcQQSkKhJlcDXrMPgsJUsYU4qxJBM.jpg,2026-02-25,non_tomato,,9T,9d8e8f87c1d9dbc9
100,AF1QipPldk2El80lEMg_Qr66OZPGZxAbsZxvishUE3-J,local/non_tomato_species/images/100_AF1QipPldk2El80lEMg_Qr66OZPGZxAbsZxvishUE3-J.jpg,2026-03-01,unknown,,,40265a4b2d210614
101,AF1QipNFZYgGKp96GQBJvPiceJkI9oGSrC_wGANBW2k0,local/non_tomato_species/images/101_AF1QipNFZYgGKp96GQBJvPiceJkI9oGSrC_wGANBW2k0.jpg,2026-03-01,unknown,,,9269349edb997cd4
102,AF1QipO7W2pN3c33A9wClBCqibHYq2XJWWvddu6-RpW0,local/non_tomato_species/images/102_AF1QipO7W2pN3c33A9wClBCqibHYq2XJWWvddu6-RpW0.jpg,2026-03-01,unknown,,,38dbf1dccac8eee6
103,AF1QipMEigYtOwhL_C95lD_lFzuoM0HMCr9nCD0IRESF,local/non_tomato_species/images/103_AF1QipMEigYtOwhL_C95lD_lFzuoM0HMCr9nCD0IRESF.jpg,2026-03-01,unknown,,,0c327248642658a4
104,AF1QipOhYJcCoCZr_58gSMaWN4XAB7M7uA5yv4FEuA96,local/non_tomato_species/images/104_AF1QipOhYJcCoCZr_58gSMaWN4XAB7M7uA5yv4FEuA96.jpg,2026-03-01,unknown,,,643635dcc1690d59
105,AF1QipMftd2LaOGx35hX4kWjqA2BG7mi6NWiRccLjuvg,local/non_tomato_species/images/105_AF1QipMftd2LaOGx35hX4kWjqA2BG7mi6NWiRccLjuvg.jpg,2026-03-01,unknown,,,39baa4b515494a98
106,AF1QipMlDWAyXeRWIe3KWeJCi6t9m4_wa4XmUhbO_AsK,local/non_tomato_species/images/106_AF1QipMlDWAyXeRWIe3KWeJCi6t9m4_wa4XmUhbO_AsK.jpg,2026-03-01,unknown,,,b192a4641a42999d
107,AF1QipOGPBWReL0e_Ykaa8eX7oI_w4OKFJDwkqSMMoKe,local/non_tomato_species/images/107_AF1QipOGPBWReL0e_Ykaa8eX7oI_w4OKFJDwkqSMMoKe.jpg,2026-03-01,unknown,,,c49272c949a990f0
108,AF1QipPLCyDAleHo2_nt-__XsKFOIh2SjDXDR696Wmg5,local/non_tomato_species/images/108_AF1QipPLCyDAleHo2_nt-__XsKFOIh2SjDXDR696Wmg5.jpg,2026-03-01,unknown,,,2d46cc4d696ce2b6
109,AF1QipOZiy5y7_33Jvu12eWe2DdZTMDPeaGKMf7H_tAj,local/non_tomato_species/images/109_AF1QipOZiy5y7_33Jvu12eWe2DdZTMDPeaGKMf7H_tAj.jpg,2026-03-01,unknown,,,ad53b1932e272cb2
10,AF1QipOjuN57XrR72JGpYJD-MNFmDIU5mMfTXiSqesvx,local/non_tomato_species/images/10_AF1QipOjuN57XrR72JGpYJD-MNFmDIU5mMfTXiSqesvx.jpg,2026-02-25,non_tomato,,10T,868f8e8fb1eacbb5
110,AF1QipNl9bjSllfGIMqq_I6YAGvLlwroxGMRRLQ9gbae,local/non_tomato_species/images/110_AF1QipNl9bjSllfGIMqq_I6YAGvLlwroxGMRRLQ9gbae.jpg,2026-03-01,unknown,,,0452f0899cb4c383
111,AF1QipNNpu3YZ1UVaOR35aRRxZ_8wAOjK2tP4TrWgZ-H,local/non_tomato_species/images/111_AF1QipNNpu3YZ1UVaOR35aRRxZ_8wAOjK2tP4TrWgZ-H.jpg,2026-03-01,unknown,,,200952d29df1e0c4
112,AF1QipPdDYoXnKvUZ-vuRoks5NUKsGYYGdS92h76ZjIV,local/non_tomato_species/images/112_AF1QipPdDYoXnKvUZ-vuRoks5NUKsGYYGdS92h76ZjIV.jpg,2026-03-01,unknown,,,114858948ad8445a
113,AF1QipN6EbEkElMPz1tBBEdWJJiKFC5F6DzJ7M4y9bfp,local/non_tomato_species/images/113_AF1QipN6EbEkElMPz1tBBEdWJJiKFC5F6DzJ7M4y9bfp.jpg,2026-03-01,unknown,,,314846a4cafd910d
