pot_id,pot_number,variety_name,capture_date,source_asset_id,photo_url,image_path,baseline_source_asset_id,baseline_capture_date,plant_count_estimate,canopy_components,vegetation_coverage,chlorosis_ratio,growth_delta,health_score,survival_hypothesis,action_code,action_recommendation,data_quality_flag,blur_score,brightness_mean,edge_density
1T,1,Sunset's Red Horizon,2026-02-27,AF1QipNkNoPwuiEal7zLlF1luNvKjGdOMuwLzCIZ1XYC,https://lh3.googleusercontent.com/pw/AP1GczMspnDV4yy6NgNlxgybeEO1gNnv5SvZ2YwRQhAQtnzq-ypeUErNXJLVb9s3JXaBBrv_cEPeLH2o_BhgYx3culTiJ0u5eaoEgZ_TMeZWDujH1pXblORm,local/non_tomato_species/images/27_AF1QipNkNoPwuiEal7zLlF1luNvKjGdOMuwLzCIZ1XYC.jpg,,,1,1,0.018883,0.158782,,44.11,low,increase_light,Increase direct morning light exposure and monitor soil moisture daily.,ok,1409.449,134.845,0.156028
2T,2,Taxi,2026-02-27,AF1QipM8_VNjFYM6p6XZxnmZbDEe2Jta-agf8uMv3HRX,https://lh3.googleusercontent.com/pw/AP1GczMqxFz88jhevGGborYJjQn9TO37YSA1Yn_J6HhEnA7NfJnqdmp4HbyOINvkrwhVJBC8fQzPOxKa3EPgEBRx_n1wIr965ExCbBvtInDrH6ZcM3IH4src,local/non_tomato_species/images/28_AF1QipM8_VNjFYM6p6XZxnmZbDEe2Jta-agf8uMv3HRX.jpg,,,1,1,0.058476,0.06117,,66.26,moderate,maintain_current_care,Maintain current care and continue weekly monitoring.,ok,716.222,112.821,0.135808
3T,3,Sunset's Red Horizon,2026-02-27,AF1QipPs5VaxkM25iMl5SmV5FGCnaaoIuO2T0AlKaJDc,https://lh3.googleusercontent.com/pw/AP1GczPj0LcfwL6u4FKikzzERHKEe2r4Aeemp8WSIukvKcEf77d7hhQBdT0VP-v1hjS0lfh6aCaTSRYBeAhc2N3PyXOtMzyI70LJCqjK3VPZZFtkNvZGYiz3,local/non_tomato_species/images/29_AF1QipPs5VaxkM25iMl5SmV5FGCnaaoIuO2T0AlKaJDc.jpg,,,2,2,0.020478,0.17095,,47.62,moderate,maintain_current_care,Maintain current care and continue weekly monitoring.,ok,1771.338,123.737,0.185804
4T,4,San Francisco Fog,2026-02-27,AF1QipMxykxrPSUc6w0Sfi5syejDGOKOoZpIr4sDFLm2,https://lh3.googleusercontent.com/pw/AP1GczPDMVWYjdcJEfLfSyLldRqqFEgaOiY2ANB8hldouIAqy_J-08omhsCvbq-b6Z-f2UD1--DRwai0f-szHUGpg2cstd6r9hNxgkscxEHrxjWsk-nZo2On,local/non_tomato_species/images/30_AF1QipMxykxrPSUc6w0Sfi5syejDGOKOoZpIr4sDFLm2.jpg,,,1,1,0.004281,0.485217,,24.59,low,check_nutrients,Check nitrogen/magnesium availability and apply half-strength balanced feed.,low_signal,1202.298,129.542,0.163744
5T,5,San Francisco Fog,2026-02-27,AF1QipMuRYdh97xeszs34rqMRR0sncEgNU-1RSBC0iz8,https://lh3.googleusercontent.com/pw/AP1GczNO50WfF518Cy03IelfloUktfgNH7c_lk_FHQpPhq3k6-gEccPSkxFJq7AYO5DeiRVHDetXn4CCyppiyDNxQqt1nsn6fQJIpEZxR00BIV2MXusD8Vf_,local/non_tomato_species/images/31_AF1QipMuRYdh97xeszs34rqMRR0sncEgNU-1RSBC0iz8.jpg,,,2,2,0.035776,0.001133,,62.05,moderate,maintain_current_care,Maintain current care and continue weekly monitoring.,ok,539.201,129.148,0.113476
6T,6,San Francisco Fog,2026-02-27,AF1QipOh2iMlMQ7BT_GI2stqUxDG0ASkO8q7N_Gzp1mw,https://lh3.googleusercontent.com/pw/AP1GczNexmoMldYiO-5ZxWlBQbDqpzm-TOlMjIVYfehr9l4uNw_6RHB4TeszoGreTKYDV90_Plfn4MWhxVnahcR0U82-9_r5NlrYLO2hTxKzRPeYP69bG0B_,local/non_tomato_species/images/32_AF1QipOh2iMlMQ7BT_GI2stqUxDG0ASkO8q7N_Gzp1mw.jpg,,,1,1,0.009898,0.0,,47.12,low,increase_light,Increase direct morning light exposure and monitor soil moisture daily.,low_signal,375.88,120.46,0.085335
7T,7,Sasha Altai,2026-02-27,AF1QipMOrNyIbBFmWPB1l0MKNFxFAkvt1kqdtsz1vNRj,https://lh3.googleusercontent.com/pw/AP1GczNpueT12SXMsMrHdCSbRX0urRlLgcBnz5e70xcf0xpkMmaVQ5379H2GqOJZQDQkkBstFyPqXZTByLJ9N1UI02J5idg0shQnnTJIVEhCOKNmkIWnL67A,local/non_tomato_species/images/33_AF1QipMOrNyIbBFmWPB1l0MKNFxFAkvt1kqdtsz1vNRj.jpg,,,1,2,0.00709,0.067227,,42.87,low,increase_light,Increase direct morning light exposure and monitor soil moisture daily.,low_signal,2925.918,106.417,0.238186
8T,8,Iles Yellow Latvian,2026-02-27,AF1QipM5jM5GYBXRvXyJF6QM_c1PeZheaz2reTEUt5K-,https://lh3.googleusercontent.com/pw/AP1GczOAnNE-AntYNp3NqwVrSekv-DWmBx4X8517cw0BX4oxkAfFpENyfu9-Z25fqKrgZibBCFnhtktescugXwsLIhRJus1xEePli-zSRQBMxVtuBObZRY_Z,local/non_tomato_species/images/34_AF1QipM5jM5GYBXRvXyJF6QM_c1PeZheaz2reTEUt5K-.jpg,,,1,1,0.035312,0.014184,,57.93,moderate,maintain_current_care,Maintain current care and continue weekly monitoring.,ok,1602.188,106.891,0.189772
9T,9,Iles Yellow Latvian,2026-02-27,AF1QipNu1M2E0AEQYK7hFn3pmzbxiIGeSq5J5Dotovbe,https://lh3.googleusercontent.com/pw/AP1GczNxvEUUByth3inm218o3N36rOfEqO8mtAy2HE1nIHSpOo5heE4FTj8KG6NfFMnaWOpKQaBUSm3n-1PpFLwgqidfKsE1AzD---Q5dSGENejr-mtoXwQ-,local/non_tomato_species/images/35_AF1QipNu1M2E0AEQYK7hFn3pmzbxiIGeSq5J5Dotovbe.jpg,,,0,0,0.0,0.0,,39.33,low,increase_light,Increase direct morning light exposure and monitor soil moisture daily.,low_signal,1904.572,116.41,0.204047
10T,10,Iles Yellow Latvian,2026-02-27,AF1QipPQ3ZWzolhWl3_1pB8e_6oGzGgs5Zr27sPloFFL,https://lh3.googleusercontent.com/pw/AP1GczNf_XOSQLU-S56-YXdNNKgl3cMQ89E8uBh-VA-pO5FSTp-DWWRCgAi03XaCQqwOn8I4vDevbPG-p0lf2iDd8yaGuRYBqEF8CFcWMvA5t9Ama2fqL3dZ,local/non_tomato_species/images/36_AF1QipPQ3ZWzolhWl3_1pB8e_6oGzGgs5Zr27sPloFFL.jpg,,,0,0,0.0,0.0,,39.33,low,increase_light,Increase direct morning light exposure and monitor soil moisture daily.,low_signal,1845.021,110.586,0.223352
11T,11,Iles Yellow Latvian,2026-02-27,AF1QipP0GSadCV_QUXvaUIJg4ToDtuQV2EuemT3VBdGd,https://lh3.googleusercontent.com/pw/AP1GczMfo9NBEs53rqIly_9WsQHXNXEmxpOAzN_6vYbo_JBUv8uy_U_vrSwTMTDuzfZQzx1ylGWMnrR12t5NiHjGEkJX-j2vAa3MGiZd9ws59CEsXpkTQ0Fz,local/non_tomato_species/images/37_AF1QipP0GSadCV_QUXvaUIJg4ToDtuQV2EuemT3VBdGd.jpg,,,3,4,0.044488,0.006338,,62.4,moderate,maintain_current_care,Maintain current care and continue weekly monitoring.,ok,1699.706,118.1,0.187686
