run_date,row_index,source_asset_id,capture_date,captured_at,photo_url,classification_label,pot_id,packet_number,variety_name,species_common_name,labeling_method,confidence,lifecycle_stage,potting_date,day_one_photo_date,day_since_potting,experiment_day,mapping_status,mapping_note
2026-02-27,27,AF1QipNkNoPwuiEal7zLlF1luNvKjGdOMuwLzCIZ1XYC,2026-02-27,2026-02-27T15:59:35.072000-08:00,https://lh3.googleusercontent.com/pw/AP1GczMspnDV4yy6NgNlxgybeEO1gNnv5SvZ2YwRQhAQtnzq-ypeUErNXJLVb9s3JXaBBrv_cEPeLH2o_BhgYx3culTiJ0u5eaoEgZ_TMeZWDujH1pXblORm,tomato,1T,7,Sunset's Red Horizon,Sunset's Red Horizon,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,
2026-02-27,28,AF1QipM8_VNjFYM6p6XZxnmZbDEe2Jta-agf8uMv3HRX,2026-02-27,2026-02-27T16:00:32.131000-08:00,https://lh3.googleusercontent.com/pw/AP1GczMqxFz88jhevGGborYJjQn9TO37YSA1Yn_J6HhEnA7NfJnqdmp4HbyOINvkrwhVJBC8fQzPOxKa3EPgEBRx_n1wIr965ExCbBvtInDrH6ZcM3IH4src,tomato,2T,4,Taxi,Taxi,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,
2026-02-27,29,AF1QipPs5VaxkM25iMl5SmV5FGCnaaoIuO2T0AlKaJDc,2026-02-27,2026-02-27T16:01:50.309000-08:00,https://lh3.googleusercontent.com/pw/AP1GczPj0LcfwL6u4FKikzzERHKEe2r4Aeemp8WSIukvKcEf77d7hhQBdT0VP-v1hjS0lfh6aCaTSRYBeAhc2N3PyXOtMzyI70LJCqjK3VPZZFtkNvZGYiz3,tomato,3T,7,Sunset's Red Horizon,Sunset's Red Horizon,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,
2026-02-27,30,AF1QipMxykxrPSUc6w0Sfi5syejDGOKOoZpIr4sDFLm2,2026-02-27,2026-02-27T16:02:39.714000-08:00,https://lh3.googleusercontent.com/pw/AP1GczPDMVWYjdcJEfLfSyLldRqqFEgaOiY2ANB8hldouIAqy_J-08omhsCvbq-b6Z-f2UD1--DRwai0f-szHUGpg2cstd6r9hNxgkscxEHrxjWsk-nZo2On,tomato,4T,1,San Francisco Fog,San Francisco Fog,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,ocr_confirms_pot_number; series_from_manual_pot_override
2026-02-27,31,AF1QipMuRYdh97xeszs34rqMRR0sncEgNU-1RSBC0iz8,2026-02-27,2026-02-27T16:03:44.928000-08:00,https://lh3.googleusercontent.com/pw/AP1GczNO50WfF518Cy03IelfloUktfgNH7c_lk_FHQpPhq3k6-gEccPSkxFJq7AYO5DeiRVHDetXn4CCyppiyDNxQqt1nsn6fQJIpEZxR00BIV2MXusD8Vf_,tomato,5T,1,San Francisco Fog,San Francisco Fog,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,ocr_confirms_pot_number; series_from_manual_pot_override
2026-02-27,32,AF1QipOh2iMlMQ7BT_GI2stqUxDG0ASkO8q7N_Gzp1mw,2026-02-27,2026-02-27T16:04:40.125000-08:00,https://lh3.googleusercontent.com/pw/AP1GczNexmoMldYiO-5ZxWlBQbDqpzm-TOlMjIVYfehr9l4uNw_6RHB4TeszoGreTKYDV90_Plfn4MWhxVnahcR0U82-9_r5NlrYLO2hTxKzRPeYP69bG0B_,tomato,6T,1,San Francisco Fog,San Francisco Fog,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,series_from_manual_pot_override
2026-02-27,33,AF1QipMOrNyIbBFmWPB1l0MKNFxFAkvt1kqdtsz1vNRj,2026-02-27,2026-02-27T16:07:00.567000-08:00,https://lh3.googleusercontent.com/pw/AP1GczNpueT12SXMsMrHdCSbRX0urRlLgcBnz5e70xcf0xpkMmaVQ5379H2GqOJZQDQkkBstFyPqXZTByLJ9N1UI02J5idg0shQnnTJIVEhCOKNmkIWnL67A,tomato,7T,9,Sasha Altai,Sasha Altai,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,ocr_confirms_pot_number
2026-02-27,34,AF1QipM5jM5GYBXRvXyJF6QM_c1PeZheaz2reTEUt5K-,2026-02-27,2026-02-27T16:07:24.251000-08:00,https://lh3.googleusercontent.com/pw/AP1GczOAnNE-AntYNp3NqwVrSekv-DWmBx4X8517cw0BX4oxkAfFpENyfu9-Z25fqKrgZibBCFnhtktescugXwsLIhRJus1xEePli-zSRQBMxVtuBObZRY_Z,tomato,8T,3,Iles Yellow Latvian,Iles Yellow Latvian,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,ocr_confirms_pot_number; series_from_manual_pot_override
2026-02-27,35,AF1QipNu1M2E0AEQYK7hFn3pmzbxiIGeSq5J5Dotovbe,2026-02-27,2026-02-27T16:07:44.473000-08:00,https://lh3.googleusercontent.com/pw/AP1GczNxvEUUByth3inm218o3N36rOfEqO8mtAy2HE1nIHSpOo5heE4FTj8KG6NfFMnaWOpKQaBUSm3n-1PpFLwgqidfKsE1AzD---Q5dSGENejr-mtoXwQ-,tomato,9T,3,Iles Yellow Latvian,Iles Yellow Latvian,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,series_from_manual_pot_override
2026-02-27,36,AF1QipPQ3ZWzolhWl3_1pB8e_6oGzGgs5Zr27sPloFFL,2026-02-27,2026-02-27T16:08:06.083000-08:00,https://lh3.googleusercontent.com/pw/AP1GczNf_XOSQLU-S56-YXdNNKgl3cMQ89E8uBh-VA-pO5FSTp-DWWRCgAi03XaCQqwOn8I4vDevbPG-p0lf2iDd8yaGuRYBqEF8CFcWMvA5t9Ama2fqL3dZ,tomato,10T,3,Iles Yellow Latvian,Iles Yellow Latvian,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,series_from_manual_pot_override
2026-02-27,37,AF1QipP0GSadCV_QUXvaUIJg4ToDtuQV2EuemT3VBdGd,2026-02-27,2026-02-27T16:08:54.425000-08:00,https://lh3.googleusercontent.com/pw/AP1GczMfo9NBEs53rqIly_9WsQHXNXEmxpOAzN_6vYbo_JBUv8uy_U_vrSwTMTDuzfZQzx1ylGWMnrR12t5NiHjGEkJX-j2vAa3MGiZd9ws59CEsXpkTQ0Fz,tomato,11T,3,Iles Yellow Latvian,Iles Yellow Latvian,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,series_from_manual_pot_override
2026-02-27,38,AF1QipPcRUF9VFcBtV6xTPyLJvDNn91cVt9MSk1b9ELy,2026-02-27,2026-02-27T16:09:28.220000-08:00,https://lh3.googleusercontent.com/pw/AP1GczOF7FUdohj3sD_dtw24urJStx4ET4pqvlkbH0rvtXURmOPx1wf3xtA9GE4JpWSyh6phJEv1rsaYhgvTNzUF8lDHHeEX7KVET36uEXqXjy3SVe47Z0JS,tomato,12T,3,Iles Yellow Latvian,Iles Yellow Latvian,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,
