series_number,variety_name,notes
1,San Francisco Fog,One-time manual mapping from collaborator.
3,Iles Yellow Latvian,One-time manual mapping from collaborator.
4,Taxi,One-time manual mapping from collaborator.
5,Nikolayev Yellow Cherry,One-time manual mapping from collaborator.
6,Japanese Black Trifele,One-time manual mapping from collaborator.
7,Sunset's Red Horizon,One-time manual mapping from collaborator.
8,Waimea Wild Cherry,One-time manual mapping from collaborator.
9,Sasha Altai,One-time manual mapping from collaborator.
10,Gold Dust,One-time manual mapping from collaborator.
11,Azoychka,One-time manual mapping from collaborator.
12,Heinz 9129,One-time manual mapping from collaborator.
